,Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w
57,3,1,0.732854,0.724426,0.789859
58,3,1,0.734908,0.512843,0.430884
59,3,1,0.75699,0.575609,0.520628
60,3,1,0.351772,0.236542,0.469346
61,3,1,0.408402,0.239639,0.55909
62,3,1,0.267146,0.275574,0.623192
63,3,1,0.303756,0.248757,0.712936
64,3,1,0.40427,0.665341,0.661654
65,3,1,0.348135,0.611237,0.751397
66,3,1,0.529645,0.742134,0.8155
67,3,1,0.465969,0.709835,0.905243
68,3,1,0.764136,0.633981,0.943705
69,3,1,0.651865,0.388763,0.584731
70,3,1,0.699174,0.449331,0.674474
71,3,1,0.534031,0.290165,0.738577
72,3,1,0.59573,0.334659,0.82832
73,3,1,0.235864,0.366019,0.777038
74,3,1,0.244068,0.315433,0.866782
75,3,1,0.265092,0.487157,0.930884
76,3,1,0.648228,0.763458,0.969346
77,3,1,0.75699,0.575609,0.853961
78,3,1,0.408402,0.239639,0.892423
79,3,1,0.470355,0.257866,0.982166
80,3,2,0.637257,0.791312,0.032917
81,3,2,0.403783,0.690165,0.041689
82,3,2,0.31966,0.608137,0.111865
83,3,2,0.743096,0.760817,0.094321
84,3,2,0.677708,0.788935,0.164496
85,3,2,0.766249,0.735843,0.2259
86,3,2,0.713311,0.778677,0.296075
87,3,2,0.549619,0.276071,0.006602
88,3,2,0.233751,0.264157,0.059233
89,3,2,0.209389,0.3741,0.120637
90,3,2,0.21786,0.295564,0.190812
91,3,2,0.450381,0.723929,0.173268
92,3,2,0.359809,0.651213,0.243444
93,3,2,0.498332,0.751585,0.304847
94,3,2,0.403783,0.690165,0.375023
95,3,2,0.78214,0.704436,0.357479
96,3,2,0.743096,0.760817,0.427654
97,3,2,0.790335,0.667452,0.489058
98,3,2,0.766249,0.735843,0.559233
99,3,2,0.74492,0.485609,0.015373
100,3,2,0.782959,0.580915,0.085549
101,3,2,0.406938,0.214257,0.068005
102,3,2,0.501668,0.248415,0.138181
103,3,2,0.362743,0.208688,0.199584
104,3,2,0.453671,0.227621,0.269759
105,3,2,0.217041,0.419085,0.252216
106,3,2,0.209665,0.332548,0.322391
107,3,2,0.232411,0.466278,0.383795
108,3,2,0.209389,0.3741,0.45397
109,3,2,0.546329,0.772379,0.436426
110,3,2,0.450381,0.723929,0.506602
111,3,2,0.593062,0.785743,0.568005
112,3,2,0.498332,0.751585,0.638181
113,3,2,0.78214,0.704436,0.690812
114,3,2,0.790335,0.667452,0.822391
115,3,2,0.71557,0.437889,0.146952
116,3,2,0.767589,0.533722,0.217128
117,3,2,0.68034,0.391863,0.278531
118,3,2,0.74492,0.485609,0.348707
119,3,2,0.322292,0.211065,0.331163
120,3,2,0.406938,0.214257,0.401338
121,3,2,0.286689,0.221323,0.462742
122,3,2,0.362743,0.208688,0.532917
123,3,2,0.25508,0.514391,0.515373
124,3,2,0.217041,0.419085,0.585549
125,3,2,0.28443,0.562111,0.646952
126,3,2,0.232411,0.466278,0.717128
127,3,2,0.637257,0.791312,0.699584
128,3,2,0.546329,0.772379,0.769759
129,3,2,0.677708,0.788935,0.831163
130,3,2,0.593062,0.785743,0.901338
131,3,2,0.640191,0.348787,0.41011
132,3,2,0.71557,0.437889,0.480286
133,3,2,0.596217,0.309835,0.541689
134,3,2,0.68034,0.391863,0.611865
135,3,2,0.256904,0.239183,0.594321
136,3,2,0.322292,0.211065,0.664496
137,3,2,0.233751,0.264157,0.7259
138,3,2,0.286689,0.221323,0.796075
139,3,2,0.31966,0.608137,0.778531
140,3,2,0.25508,0.514391,0.848707
141,3,2,0.359809,0.651213,0.91011
142,3,2,0.28443,0.562111,0.980286
143,3,2,0.713311,0.778677,0.962742
144,3,2,0.790611,0.6259,0.620637
145,3,2,0.549619,0.276071,0.673268
146,3,2,0.640191,0.348787,0.743444
147,3,2,0.501668,0.248415,0.804847
148,3,2,0.596217,0.309835,0.875023
149,3,2,0.21786,0.295564,0.857479
150,3,2,0.256904,0.239183,0.927654
151,3,2,0.209665,0.332548,0.989058
152,3,2,0.782959,0.580915,0.752216
153,3,2,0.767589,0.533722,0.883795
154,3,2,0.790611,0.6259,0.95397
155,3,2,0.453671,0.227621,0.936426
156,4,1,0.798626,0.65477,0.039988
157,4,1,0.794352,0.691116,0.111416
158,4,1,0.212784,0.427407,0.063797
159,4,1,0.560308,0.783502,0.016178
160,4,1,0.516033,0.766319,0.087607
161,4,1,0.681264,0.79623,0.135226
162,4,1,0.643856,0.798626,0.206655
163,4,1,0.723194,0.439692,0.016178
164,4,1,0.356144,0.201374,0.039988
165,4,1,0.233681,0.249714,0.087607
166,4,1,0.256813,0.228213,0.159036
167,4,1,0.308884,0.603235,0.111416
168,4,1,0.276806,0.560308,0.182845
169,4,1,0.427407,0.714623,0.230464
170,4,1,0.385034,0.681264,0.301893
171,4,1,0.766319,0.750286,0.254274
172,4,1,0.743187,0.771787,0.325702
173,4,1,0.798626,0.65477,0.373321
174,4,1,0.794352,0.691116,0.44475
175,4,1,0.572593,0.285377,0.063797
176,4,1,0.614966,0.318736,0.135226
177,4,1,0.439692,0.216498,0.182845
178,4,1,0.483967,0.233681,0.254274
179,4,1,0.201374,0.34523,0.206655
180,4,1,0.205648,0.308884,0.278083
181,4,1,0.228213,0.471401,0.325702
182,4,1,0.212784,0.427407,0.397131
183,4,1,0.560308,0.783502,0.349512
184,4,1,0.516033,0.766319,0.42094
185,4,1,0.681264,0.79623,0.468559
186,4,1,0.643856,0.798626,0.539988
187,4,1,0.771787,0.528599,0.159036
188,4,1,0.787216,0.572593,0.230464
189,4,1,0.691116,0.396765,0.278083
190,4,1,0.723194,0.439692,0.349512
191,4,1,0.318736,0.20377,0.301893
192,4,1,0.356144,0.201374,0.373321
193,4,1,0.233681,0.249714,0.42094
194,4,1,0.256813,0.228213,0.492369
195,4,1,0.308884,0.603235,0.44475
196,4,1,0.276806,0.560308,0.516178
197,4,1,0.427407,0.714623,0.563797
198,4,1,0.385034,0.681264,0.635226
199,4,1,0.766319,0.750286,0.587607
200,4,1,0.743187,0.771787,0.659036
201,4,1,0.798626,0.65477,0.706655
202,4,1,0.794352,0.691116,0.778083
203,4,1,0.572593,0.285377,0.397131
204,4,1,0.614966,0.318736,0.468559
205,4,1,0.439692,0.216498,0.516178
206,4,1,0.483967,0.233681,0.587607
207,4,1,0.201374,0.34523,0.539988
208,4,1,0.205648,0.308884,0.611416
209,4,1,0.228213,0.471401,0.659036
210,4,1,0.212784,0.427407,0.730464
211,4,1,0.560308,0.783502,0.682845
212,4,1,0.516033,0.766319,0.754274
213,4,1,0.681264,0.79623,0.801893
214,4,1,0.643856,0.798626,0.873321
215,4,1,0.771787,0.528599,0.492369
216,4,1,0.787216,0.572593,0.563797
217,4,1,0.691116,0.396765,0.611416
218,4,1,0.723194,0.439692,0.682845
219,4,1,0.318736,0.20377,0.635226
220,4,1,0.356144,0.201374,0.706655
221,4,1,0.233681,0.249714,0.754274
222,4,1,0.256813,0.228213,0.825702
223,4,1,0.308884,0.603235,0.778083
224,4,1,0.276806,0.560308,0.849512
225,4,1,0.427407,0.714623,0.897131
226,4,1,0.385034,0.681264,0.968559
227,4,1,0.766319,0.750286,0.92094
228,4,1,0.743187,0.771787,0.992369
229,4,1,0.572593,0.285377,0.730464
230,4,1,0.614966,0.318736,0.801893
231,4,1,0.439692,0.216498,0.849512
232,4,1,0.483967,0.233681,0.92094
233,4,1,0.201374,0.34523,0.873321
234,4,1,0.205648,0.308884,0.94475
235,4,1,0.228213,0.471401,0.992369
236,4,1,0.771787,0.528599,0.825702
237,4,1,0.787216,0.572593,0.897131
238,4,1,0.691116,0.396765,0.94475
239,4,1,0.318736,0.20377,0.968559
240,4,2,0.818516,0.679132,0.068071
241,4,2,0.805424,0.733468,0.187119
242,4,2,0.236666,0.524781,0.044262
243,4,2,0.548504,0.797602,0.11569
244,4,2,0.68065,0.818379,0.210928
245,4,2,0.617524,0.815911,0.329976
246,4,2,0.818516,0.679132,0.401404
247,4,2,0.181484,0.320868,0.068071
248,4,2,0.194576,0.266532,0.187119
249,4,2,0.341126,0.660466,0.1395
250,4,2,0.283467,0.595006,0.258547
251,4,2,0.406751,0.717881,0.353785
252,4,2,0.341126,0.660466,0.472833
253,4,2,0.734718,0.804882,0.425214
254,4,2,0.68065,0.818379,0.544262
255,4,2,0.777017,0.776098,0.6395
256,4,2,0.734718,0.804882,0.758547
257,4,2,0.763334,0.475219,0.044262
258,4,2,0.451496,0.202398,0.11569
259,4,2,0.31935,0.181621,0.210928
260,4,2,0.382476,0.184089,0.329976
261,4,2,0.184363,0.384187,0.282357
262,4,2,0.181484,0.320868,0.401404
263,4,2,0.20307,0.453314,0.496642
264,4,2,0.184363,0.384187,0.61569
265,4,2,0.477052,0.764369,0.568071
266,4,2,0.406751,0.717881,0.687119
267,4,2,0.548504,0.797602,0.782357
268,4,2,0.477052,0.764369,0.901404
269,4,2,0.805424,0.733468,0.853785
270,4,2,0.777017,0.776098,0.972833
271,4,2,0.658874,0.339534,0.1395
272,4,2,0.716533,0.404994,0.258547
273,4,2,0.593249,0.282119,0.353785
274,4,2,0.658874,0.339534,0.472833
275,4,2,0.265282,0.195118,0.425214
276,4,2,0.31935,0.181621,0.544262
277,4,2,0.222983,0.223902,0.6395
278,4,2,0.265282,0.195118,0.758547
279,4,2,0.236666,0.524781,0.710928
280,4,2,0.20307,0.453314,0.829976
281,4,2,0.283467,0.595006,0.925214
282,4,2,0.617524,0.815911,0.996642
283,4,2,0.815637,0.615813,0.282357
284,4,2,0.79693,0.546686,0.496642
285,4,2,0.815637,0.615813,0.61569
286,4,2,0.522948,0.235631,0.568071
287,4,2,0.593249,0.282119,0.687119
288,4,2,0.451496,0.202398,0.782357
289,4,2,0.522948,0.235631,0.901404
290,4,2,0.194576,0.266532,0.853785
291,4,2,0.222983,0.223902,0.972833
292,4,2,0.763334,0.475219,0.710928
293,4,2,0.79693,0.546686,0.829976
294,4,2,0.716533,0.404994,0.925214
295,4,2,0.382476,0.184089,0.996642
296,4,3,0.837462,0.697133,0.028817
297,4,3,0.818309,0.760281,0.078367
298,4,3,0.595393,0.829463,0.037826
299,4,3,0.698333,0.837316,0.082871
300,4,3,0.622642,0.835066,0.132421
301,4,3,0.839027,0.673029,0.123412
302,4,3,0.827065,0.740917,0.172962
303,4,3,0.833465,0.719817,0.267556
304,4,3,0.178986,0.43399,0.00179
305,4,3,0.16185,0.352321,0.05134
306,4,3,0.396844,0.728129,0.042331
307,4,3,0.318789,0.657565,0.09188
308,4,3,0.424606,0.748578,0.136925
309,4,3,0.343744,0.682458,0.186475
310,4,3,0.720939,0.833194,0.177466
311,4,3,0.649007,0.838255,0.227016
312,4,3,0.741954,0.826673,0.272061
313,4,3,0.674298,0.839006,0.32161
314,4,3,0.837462,0.697133,0.362151
315,4,3,0.839027,0.673029,0.456745
316,4,3,0.279061,0.166806,0.010799
317,4,3,0.206004,0.206743,0.055844
318,4,3,0.258046,0.173327,0.105394
319,4,3,0.189397,0.462432,0.096385
320,4,3,0.165163,0.378736,0.145935
321,4,3,0.202045,0.491143,0.19098
322,4,3,0.170889,0.406025,0.240529
323,4,3,0.452911,0.767237,0.23152
324,4,3,0.369825,0.706036,0.28107
325,4,3,0.481555,0.78397,0.326115
326,4,3,0.396844,0.728129,0.375664
327,4,3,0.761225,0.817797,0.366655
328,4,3,0.698333,0.837316,0.416205
329,4,3,0.778614,0.806632,0.46125
330,4,3,0.720939,0.833194,0.510799
331,4,3,0.797955,0.508857,0.024313
332,4,3,0.460964,0.188807,0.015304
333,4,3,0.547089,0.232763,0.064853
334,4,3,0.432542,0.178514,0.109898
335,4,3,0.518445,0.21603,0.159448
336,4,3,0.192741,0.22223,0.150439
337,4,3,0.238775,0.182203,0.199989
338,4,3,0.181691,0.239719,0.245034
339,4,3,0.221386,0.193368,0.294583
340,4,3,0.216839,0.519919,0.285574
341,4,3,0.178986,0.43399,0.335124
342,4,3,0.233674,0.548551,0.380169
343,4,3,0.189397,0.462432,0.429718
344,4,3,0.510333,0.798657,0.420709
345,4,3,0.424606,0.748578,0.470259
346,4,3,0.539036,0.811193,0.515304
347,4,3,0.452911,0.767237,0.564853
348,4,3,0.793996,0.793257,0.555844
349,4,3,0.741954,0.826673,0.605394
350,4,3,0.807259,0.77777,0.650439
351,4,3,0.761225,0.817797,0.699989
352,4,3,0.727034,0.395438,0.069358
353,4,3,0.783161,0.480081,0.118907
354,4,3,0.704861,0.368462,0.163953
355,4,3,0.766326,0.451449,0.213502
356,4,3,0.404607,0.170537,0.204493
357,4,3,0.489667,0.201343,0.254043
358,4,3,0.377358,0.164934,0.299088
359,4,3,0.460964,0.188807,0.348637
360,4,3,0.172935,0.259083,0.339628
361,4,3,0.206004,0.206743,0.389178
362,4,3,0.166535,0.280183,0.434223
363,4,3,0.192741,0.22223,0.483772
364,4,3,0.252428,0.576834,0.474763
365,4,3,0.202045,0.491143,0.524313
366,4,3,0.272966,0.604562,0.569358
367,4,3,0.216839,0.519919,0.618907
368,4,3,0.567458,0.821486,0.609898
369,4,3,0.481555,0.78397,0.659448
370,4,3,0.595393,0.829463,0.704493
371,4,3,0.510333,0.798657,0.754043
372,4,3,0.818309,0.760281,0.745034
373,4,3,0.778614,0.806632,0.794583
374,4,3,0.827065,0.740917,0.839628
375,4,3,0.793996,0.793257,0.889178
376,4,3,0.83815,0.647679,0.218007
377,4,3,0.681211,0.342435,0.258547
378,4,3,0.747572,0.423166,0.308097
379,4,3,0.656256,0.317542,0.353142
380,4,3,0.727034,0.395438,0.402691
381,4,3,0.350993,0.161745,0.393682
382,4,3,0.432542,0.178514,0.443232
383,4,3,0.325702,0.160994,0.488277
384,4,3,0.404607,0.170537,0.537826
385,4,3,0.162538,0.302867,0.528817
386,4,3,0.181691,0.239719,0.578367
387,4,3,0.160973,0.326971,0.623412
388,4,3,0.172935,0.259083,0.672962
389,4,3,0.295139,0.631538,0.663953
390,4,3,0.233674,0.548551,0.713502
391,4,3,0.318789,0.657565,0.758547
392,4,3,0.252428,0.576834,0.808097
393,4,3,0.622642,0.835066,0.799088
394,4,3,0.539036,0.811193,0.848637
395,4,3,0.649007,0.838255,0.893682
396,4,3,0.567458,0.821486,0.943232
397,4,3,0.833465,0.719817,0.934223
398,4,3,0.807259,0.77777,0.983772
399,4,3,0.834837,0.621264,0.312601
400,4,3,0.829111,0.593975,0.407196
401,4,3,0.630175,0.293964,0.447736
402,4,3,0.704861,0.368462,0.497286
403,4,3,0.603156,0.271871,0.542331
404,4,3,0.681211,0.342435,0.59188
405,4,3,0.301667,0.162684,0.582871
406,4,3,0.377358,0.164934,0.632421
407,4,3,0.279061,0.166806,0.677466
408,4,3,0.350993,0.161745,0.727016
409,4,3,0.16185,0.352321,0.718007
410,4,3,0.166535,0.280183,0.767556
411,4,3,0.165163,0.378736,0.812601
412,4,3,0.162538,0.302867,0.862151
413,4,3,0.343744,0.682458,0.853142
414,4,3,0.272966,0.604562,0.902691
415,4,3,0.369825,0.706036,0.947736
416,4,3,0.295139,0.631538,0.997286
417,4,3,0.674298,0.839006,0.988277
418,4,3,0.821014,0.56601,0.50179
419,4,3,0.83815,0.647679,0.55134
420,4,3,0.810603,0.537568,0.596385
421,4,3,0.834837,0.621264,0.645935
422,4,3,0.575394,0.251422,0.636925
423,4,3,0.656256,0.317542,0.686475
424,4,3,0.547089,0.232763,0.73152
425,4,3,0.630175,0.293964,0.78107
426,4,3,0.258046,0.173327,0.772061
427,4,3,0.325702,0.160994,0.82161
428,4,3,0.238775,0.182203,0.866655
429,4,3,0.301667,0.162684,0.916205
430,4,3,0.170889,0.406025,0.907196
431,4,3,0.160973,0.326971,0.956745
432,4,3,0.797955,0.508857,0.69098
433,4,3,0.829111,0.593975,0.740529
434,4,3,0.783161,0.480081,0.785574
435,4,3,0.821014,0.56601,0.835124
436,4,3,0.518445,0.21603,0.826115
437,4,3,0.603156,0.271871,0.875664
438,4,3,0.489667,0.201343,0.920709
439,4,3,0.575394,0.251422,0.970259
440,4,3,0.221386,0.193368,0.96125
441,4,3,0.766326,0.451449,0.880169
442,4,3,0.810603,0.537568,0.929718
443,4,3,0.747572,0.423166,0.974763
444,5,1,0.680778,0.825935,0.026903
445,5,1,0.335424,0.662004,0.010773
446,5,1,0.493,0.779265,0.048408
447,5,1,0.460003,0.760702,0.107548
448,5,1,0.790058,0.775,0.064537
449,5,1,0.773387,0.79141,0.123677
450,5,1,0.825735,0.683244,0.161311
451,5,1,0.821683,0.709652,0.220451
452,5,1,0.24609,0.195169,0.01615
453,5,1,0.268172,0.184877,0.07529
454,5,1,0.203776,0.470973,0.032279
455,5,1,0.191385,0.438213,0.091419
456,5,1,0.28201,0.601606,0.129053
457,5,1,0.258526,0.569685,0.188193
458,5,1,0.622328,0.823403,0.145182
459,5,1,0.591065,0.817144,0.204322
460,5,1,0.731828,0.815123,0.241956
461,5,1,0.707367,0.822182,0.301096
462,5,1,0.823803,0.625076,0.043032
463,5,1,0.604424,0.28423,0.059161
464,5,1,0.441131,0.192369,0.096795
465,5,1,0.473932,0.205039,0.155935
466,5,1,0.185669,0.26609,0.112924
467,5,1,0.196247,0.244233,0.172064
468,5,1,0.176197,0.374924,0.209698
469,5,1,0.173556,0.345045,0.268838
470,5,1,0.395576,0.71577,0.225827
471,5,1,0.364807,0.689861,0.284967
472,5,1,0.526068,0.794961,0.322601
473,5,1,0.493,0.779265,0.381741
474,5,1,0.803753,0.755767,0.33873
475,5,1,0.790058,0.775,0.39787
476,5,1,0.825735,0.683244,0.494644
477,5,1,0.76248,0.462952,0.080666
478,5,1,0.780792,0.495969,0.139806
479,5,1,0.664576,0.337996,0.17744
480,5,1,0.692269,0.367515,0.23658
481,5,1,0.319222,0.174065,0.193569
482,5,1,0.347665,0.173656,0.252709
483,5,1,0.226613,0.20859,0.290343
484,5,1,0.24609,0.195169,0.349483
485,5,1,0.219208,0.504031,0.306472
486,5,1,0.203776,0.470973,0.365612
487,5,1,0.307731,0.632485,0.403247
488,5,1,0.28201,0.601606,0.462386
489,5,1,0.652335,0.826344,0.419376
490,5,1,0.622328,0.823403,0.478515
491,5,1,0.75391,0.804831,0.51615
492,5,1,0.731828,0.815123,0.57529
493,5,1,0.808615,0.561787,0.258085
494,5,1,0.81784,0.593913,0.317225
495,5,1,0.539997,0.239298,0.274214
496,5,1,0.572583,0.260535,0.333354
497,5,1,0.408935,0.182856,0.370989
498,5,1,0.441131,0.192369,0.430128
499,5,1,0.178317,0.290348,0.387118
500,5,1,0.185669,0.26609,0.446257
501,5,1,0.18216,0.406087,0.483892
502,5,1,0.176197,0.374924,0.543032
503,5,1,0.427417,0.739465,0.500021
504,5,1,0.395576,0.71577,0.559161
505,5,1,0.558869,0.807631,0.596795
506,5,1,0.526068,0.794961,0.655935
507,5,1,0.814331,0.73391,0.612924
508,5,1,0.803753,0.755767,0.672064
509,5,1,0.741474,0.430315,0.354859
510,5,1,0.76248,0.462952,0.413999
511,5,1,0.635193,0.310139,0.451634
512,5,1,0.664576,0.337996,0.510773
513,5,1,0.292633,0.177818,0.467763
514,5,1,0.319222,0.174065,0.526903
515,5,1,0.209942,0.225,0.564537
516,5,1,0.226613,0.20859,0.623677
517,5,1,0.23752,0.537048,0.580666
518,5,1,0.219208,0.504031,0.639806
519,5,1,0.335424,0.662004,0.67744
520,5,1,0.307731,0.632485,0.73658
521,5,1,0.680778,0.825935,0.693569
522,5,1,0.652335,0.826344,0.752709
523,5,1,0.773387,0.79141,0.790343
524,5,1,0.75391,0.804831,0.849483
525,5,1,0.826444,0.654955,0.435505
526,5,1,0.796224,0.529027,0.532279
527,5,1,0.808615,0.561787,0.591419
528,5,1,0.507,0.220735,0.548408
529,5,1,0.539997,0.239298,0.607548
530,5,1,0.377672,0.176597,0.645182
531,5,1,0.408935,0.182856,0.704322
532,5,1,0.174265,0.316756,0.661311
533,5,1,0.178317,0.290348,0.720451
534,5,1,0.191385,0.438213,0.758085
535,5,1,0.18216,0.406087,0.817225
536,5,1,0.460003,0.760702,0.774214
537,5,1,0.427417,0.739465,0.833354
538,5,1,0.591065,0.817144,0.870989
539,5,1,0.558869,0.807631,0.930128
540,5,1,0.821683,0.709652,0.887118
541,5,1,0.814331,0.73391,0.946257
542,5,1,0.71799,0.398394,0.629053
543,5,1,0.741474,0.430315,0.688193
544,5,1,0.604424,0.28423,0.725827
545,5,1,0.635193,0.310139,0.784967
546,5,1,0.268172,0.184877,0.741956
547,5,1,0.292633,0.177818,0.801096
548,5,1,0.196247,0.244233,0.83873
549,5,1,0.209942,0.225,0.89787
550,5,1,0.258526,0.569685,0.854859
551,5,1,0.23752,0.537048,0.913999
552,5,1,0.364807,0.689861,0.951634
553,5,1,0.707367,0.822182,0.967763
554,5,1,0.823803,0.625076,0.709698
555,5,1,0.826444,0.654955,0.768838
556,5,1,0.780792,0.495969,0.806472
557,5,1,0.796224,0.529027,0.865612
558,5,1,0.473932,0.205039,0.822601
559,5,1,0.507,0.220735,0.881741
560,5,1,0.347665,0.173656,0.919376
561,5,1,0.377672,0.176597,0.978515
562,5,1,0.173556,0.345045,0.935505
563,5,1,0.174265,0.316756,0.994644
564,5,1,0.692269,0.367515,0.903247
565,5,1,0.71799,0.398394,0.962386
566,5,1,0.81784,0.593913,0.983892
567,5,2,0.712201,0.839176,0.013758
568,5,2,0.535508,0.812967,0.026578
569,5,2,0.480367,0.786506,0.07786
570,5,2,0.800711,0.792748,0.052219
571,5,2,0.770442,0.817544,0.103501
572,5,2,0.831322,0.741592,0.141963
573,5,2,0.812967,0.777458,0.193245
574,5,2,0.187033,0.222542,0.026578
575,5,2,0.23963,0.562823,0.000937
576,5,2,0.207252,0.507963,0.052219
577,5,2,0.300532,0.641627,0.090681
578,5,2,0.258408,0.58973,0.141963
579,5,2,0.616055,0.837302,0.116322
580,5,2,0.562823,0.823192,0.167604
581,5,2,0.689857,0.842035,0.206065
582,5,2,0.641627,0.841096,0.257347
583,5,2,0.842677,0.676395,0.231706
584,5,2,0.837302,0.721248,0.282988
585,5,2,0.437177,0.176808,0.000937
586,5,2,0.310143,0.157965,0.039399
587,5,2,0.358373,0.158904,0.090681
588,5,2,0.157323,0.323605,0.06504
589,5,2,0.162698,0.278752,0.116322
590,5,2,0.165883,0.399052,0.154783
591,5,2,0.157965,0.347821,0.206065
592,5,2,0.373025,0.712201,0.180424
593,5,2,0.323605,0.666281,0.231706
594,5,2,0.452898,0.770442,0.270168
595,5,2,0.399052,0.733169,0.32145
596,5,2,0.752625,0.826891,0.295809
597,5,2,0.712201,0.839176,0.347091
598,5,2,0.800711,0.792748,0.385552
599,5,2,0.770442,0.817544,0.436834
600,5,2,0.842035,0.652179,0.039399
601,5,2,0.626975,0.287799,0.013758
602,5,2,0.676395,0.333719,0.06504
603,5,2,0.547102,0.229558,0.103501
604,5,2,0.600948,0.266831,0.154783
605,5,2,0.247375,0.173109,0.129142
606,5,2,0.287799,0.160824,0.180424
607,5,2,0.199289,0.207252,0.218886
608,5,2,0.229558,0.182456,0.270168
609,5,2,0.193861,0.480367,0.244527
610,5,2,0.173109,0.425734,0.295809
611,5,2,0.23963,0.562823,0.33427
612,5,2,0.207252,0.507963,0.385552
613,5,2,0.535508,0.812967,0.359911
614,5,2,0.480367,0.786506,0.411193
615,5,2,0.616055,0.837302,0.449655
616,5,2,0.562823,0.823192,0.500937
617,5,2,0.831322,0.741592,0.475296
618,5,2,0.812967,0.777458,0.526578
619,5,2,0.842677,0.676395,0.56504
620,5,2,0.837302,0.721248,0.616322
621,5,2,0.806139,0.519633,0.07786
622,5,2,0.826891,0.574266,0.129142
623,5,2,0.76037,0.437177,0.167604
624,5,2,0.792748,0.492037,0.218886
625,5,2,0.464492,0.187033,0.193245
626,5,2,0.519633,0.213494,0.244527
627,5,2,0.383945,0.162698,0.282988
628,5,2,0.437177,0.176808,0.33427
629,5,2,0.168678,0.258408,0.308629
630,5,2,0.187033,0.222542,0.359911
631,5,2,0.157323,0.323605,0.398373
632,5,2,0.162698,0.278752,0.449655
633,5,2,0.300532,0.641627,0.424014
634,5,2,0.258408,0.58973,0.475296
635,5,2,0.373025,0.712201,0.513758
636,5,2,0.323605,0.666281,0.56504
637,5,2,0.689857,0.842035,0.539399
638,5,2,0.641627,0.841096,0.590681
639,5,2,0.752625,0.826891,0.629142
640,5,2,0.712201,0.839176,0.680424
641,5,2,0.699468,0.358373,0.257347
642,5,2,0.741592,0.41027,0.308629
643,5,2,0.626975,0.287799,0.347091
644,5,2,0.676395,0.333719,0.398373
645,5,2,0.310143,0.157965,0.372732
646,5,2,0.358373,0.158904,0.424014
647,5,2,0.247375,0.173109,0.462475
648,5,2,0.287799,0.160824,0.513758
649,5,2,0.165883,0.399052,0.488116
650,5,2,0.157965,0.347821,0.539399
651,5,2,0.193861,0.480367,0.57786
652,5,2,0.173109,0.425734,0.629142
653,5,2,0.452898,0.770442,0.603501
654,5,2,0.399052,0.733169,0.654783
655,5,2,0.535508,0.812967,0.693245
656,5,2,0.480367,0.786506,0.744527
657,5,2,0.800711,0.792748,0.718886
658,5,2,0.770442,0.817544,0.770168
659,5,2,0.831322,0.741592,0.808629
660,5,2,0.812967,0.777458,0.859911
661,5,2,0.834117,0.600948,0.32145
