,Calculated atomic coordinates v'
212,0.783893
213,0.811887
214,0.81599
215,0.528527
216,0.573293
217,0.387602
218,0.431653
219,0.187917
220,0.184129
221,0.238728
222,0.215492
223,0.612095
224,0.568083
225,0.730006
226,0.694919
227,0.761253
228,0.783672
229,0.270349
230,0.306347
231,0.199076
232,0.214825
233,0.340879
234,0.302779
235,0.472308
236,0.528527
237,0.573293
238,0.387602
239,0.187917
240,0.686446
241,0.743529
242,0.524519
243,0.808905
244,0.83037
245,0.827636
246,0.686314
247,0.313554
248,0.256471
249,0.666125
250,0.597625
251,0.724498
252,0.665535
253,0.817994
254,0.831602
255,0.787117
256,0.818039
257,0.475481
258,0.191095
259,0.16963
260,0.172363
261,0.379864
262,0.313686
263,0.451036
264,0.379033
265,0.774451
266,0.724069
267,0.809031
268,0.774033
269,0.74349
270,0.787174
271,0.333875
272,0.402376
273,0.275502
274,0.334465
275,0.182006
276,0.168398
277,0.212882
278,0.181961
279,0.52466
280,0.450293
281,0.598218
282,0.827591
283,0.620136
284,0.548964
285,0.620968
286,0.225549
287,0.275931
288,0.190969
289,0.225967
290,0.25651
291,0.212826
292,0.47534
293,0.549706
294,0.401781
295,0.172409
296,0.705715
297,0.768864
298,0.837903
299,0.845584
300,0.839401
301,0.676577
302,0.743802
303,0.719244
304,0.433431
305,0.345791
306,0.73275
307,0.657504
308,0.749982
309,0.680317
310,0.83738
311,0.842441
312,0.830405
313,0.845414
314,0.69801
315,0.676139
316,0.158256
317,0.197577
318,0.160287
319,0.457925
320,0.368933
321,0.484912
322,0.396106
323,0.768093
324,0.703963
325,0.786301
326,0.728694
327,0.823311
328,0.844251
329,0.813527
330,0.841744
331,0.51235
332,0.182789
333,0.227861
334,0.167834
335,0.205154
336,0.207778
337,0.166578
338,0.225
339,0.175615
340,0.513734
341,0.425216
342,0.544873
343,0.455462
344,0.802733
345,0.750994
346,0.817211
347,0.77214
348,0.802423
349,0.839713
350,0.792222
351,0.833423
352,0.393343
353,0.479148
354,0.360996
355,0.444452
356,0.154084
357,0.184268
358,0.143914
359,0.170495
360,0.24497
361,0.191984
362,0.268313
363,0.208873
364,0.57553
365,0.48765
366,0.606657
367,0.520853
368,0.832166
369,0.794846
370,0.845916
371,0.815731
372,0.774999
373,0.824385
374,0.75503
375,0.808016
376,0.644594
377,0.329885
378,0.414285
379,0.304519
380,0.388486
381,0.143347
382,0.164984
383,0.146816
384,0.162097
385,0.294285
386,0.231136
387,0.323423
388,0.256198
389,0.639004
390,0.555548
391,0.670115
392,0.585715
393,0.856086
394,0.829505
395,0.856653
396,0.835015
397,0.731687
398,0.791128
399,0.616159
400,0.591466
401,0.285542
402,0.364731
403,0.26725
404,0.342496
405,0.154416
406,0.160599
407,0.16262
408,0.157558
409,0.355407
410,0.280756
411,0.383841
412,0.30199
413,0.695481
414,0.611514
415,0.714459
416,0.635269
417,0.853184
418,0.566569
419,0.654209
420,0.542075
421,0.631067
422,0.250018
423,0.319683
424,0.231907
425,0.296037
426,0.169595
427,0.154586
428,0.176689
429,0.15575
430,0.408534
431,0.323861
432,0.515088
433,0.603894
434,0.486266
435,0.574784
436,0.213699
437,0.271307
438,0.197268
439,0.249006
440,0.186473
441,0.455127
442,0.544538
443,0.42447
444,0.83773
445,0.658136
446,0.780342
447,0.756888
448,0.788111
449,0.80209
450,0.692557
451,0.716871
452,0.183055
453,0.17091
454,0.458761
455,0.421486
456,0.589257
457,0.553304
458,0.825617
459,0.81734
460,0.820119
461,0.825113
462,0.640649
463,0.285121
464,0.184115
465,0.194294
466,0.246423
467,0.220291
468,0.35124
469,0.319429
470,0.706452
471,0.678132
472,0.790592
473,0.774824
474,0.761092
475,0.781988
476,0.697156
477,0.470233
478,0.501183
479,0.334049
480,0.362553
481,0.153651
482,0.152931
483,0.183784
484,0.173711
485,0.484973
486,0.452166
487,0.621341
488,0.591171
489,0.828985
490,0.82775
491,0.816945
492,0.82909
493,0.563732
494,0.597007
495,0.226306
496,0.249987
497,0.16777
498,0.181191
499,0.269447
500,0.24667
501,0.389262
502,0.359351
503,0.738275
504,0.71488
505,0.815885
506,0.805706
507,0.753578
508,0.779709
509,0.427966
510,0.465471
511,0.308127
512,0.341864
513,0.162269
514,0.16227
515,0.211889
516,0.19791
517,0.529767
518,0.498817
519,0.665951
520,0.637447
521,0.846349
522,0.847069
523,0.816216
524,0.826289
525,0.664249
526,0.541239
527,0.578514
528,0.219658
529,0.243112
530,0.174383
531,0.18266
532,0.307443
533,0.283129
534,0.436268
535,0.402993
536,0.773694
537,0.750013
538,0.83223
539,0.818809
540,0.730553
541,0.75333
542,0.410743
543,0.446696
544,0.293548
545,0.321868
546,0.179881
547,0.174887
548,0.238908
549,0.218012
550,0.572034
551,0.534529
552,0.691873
553,0.837731
554,0.64876
555,0.680571
556,0.515027
557,0.547834
558,0.209409
559,0.225176
560,0.171015
561,0.17225
562,0.335751
563,0.302844
564,0.378659
565,0.408829
566,0.610738
567,0.84995
568,0.824081
569,0.796017
570,0.800935
571,0.826235
572,0.747541
573,0.787161
574,0.212839
575,0.56548
576,0.508269
577,0.645899
578,0.591484
579,0.847847
580,0.832521
581,0.854216
582,0.852653
583,0.68182
584,0.728745
585,0.167479
586,0.145784
587,0.147347
588,0.31818
589,0.271255
590,0.395334
591,0.342194
592,0.718346
593,0.671125
594,0.777837
595,0.74002
596,0.836801
597,0.84995
598,0.800935
599,0.826235
600,0.657807
601,0.281655
602,0.328875
603,0.222163
604,0.25998
605,0.163199
606,0.15005
607,0.199065
608,0.173765
609,0.480065
610,0.424181
611,0.56548
612,0.508269
613,0.824081
614,0.796017
615,0.847847
616,0.832521
617,0.747541
618,0.787161
619,0.68182
620,0.728745
621,0.519936
622,0.57582
623,0.43452
624,0.491731
625,0.175919
626,0.203983
627,0.152153
628,0.167479
629,0.252459
630,0.212839
631,0.31818
632,0.271255
633,0.645899
634,0.591484
635,0.718346
636,0.671125
637,0.854216
638,0.852653
639,0.836801
640,0.84995
641,0.354101
642,0.408516
643,0.281654
644,0.328875
645,0.145784
646,0.147347
647,0.163199
648,0.15005
649,0.395334
650,0.342193
651,0.480065
652,0.424181
653,0.777837
654,0.74002
655,0.824081
656,0.796017
657,0.800935
658,0.826235
659,0.747541
660,0.787161
661,0.604666
662,0.657807
663,0.519935
664,0.575819
665,0.222163
666,0.259979
667,0.175919
668,0.203983
669,0.199065
670,0.173765
671,0.252459
672,0.212839
673,0.56548
674,0.508269
675,0.645899
676,0.591484
677,0.847847
678,0.832521
679,0.854216
680,0.852653
681,0.68182
682,0.728745
683,0.43452
684,0.491731
685,0.354101
686,0.408516
687,0.152153
688,0.167479
689,0.145784
690,0.147347
691,0.31818
692,0.271255
693,0.395334
694,0.342193
695,0.718345
696,0.671125
697,0.777837
698,0.74002
699,0.836801
700,0.604666
701,0.657806
702,0.281654
703,0.328875
704,0.222163
705,0.259979
706,0.163199
707,0.15005
708,0.199065
709,0.173765
710,0.480064
711,0.42418
712,0.519935
713,0.575819
714,0.43452
715,0.491731
716,0.175919
717,0.203983
718,0.152153
719,0.252459
720,0.354101
721,0.408516
722,0.604666
723,0.852801
724,0.847026
725,0.822432
726,0.80849
727,0.839232
728,0.779714
729,0.819557
730,0.592888
731,0.701113
732,0.639055
733,0.858747
734,0.843906
735,0.866416
736,0.857869
737,0.746842
738,0.79563
739,0.714275
740,0.770483
741,0.174851
742,0.149585
743,0.407148
744,0.341856
745,0.454383
746,0.384757
747,0.739033
748,0.680204
749,0.770459
750,0.716223
751,0.866048
752,0.86756
753,0.860819
754,0.87066
755,0.739914
756,0.701585
757,0.182655
758,0.138962
759,0.157284
760,0.202196
761,0.164831
762,0.229172
763,0.183417
764,0.50002
765,0.428304
766,0.544588
767,0.473981
768,0.798074
769,0.752213
770,0.823734
771,0.786092
772,0.847444
773,0.86447
774,0.825149
775,0.850415
776,0.675224
777,0.314689
778,0.376554
779,0.270333
780,0.330205
781,0.1291
782,0.13914
783,0.124489
784,0.127891
785,0.259346
786,0.207453
787,0.295342
788,0.240127
789,0.591728
790,0.52281
791,0.638442
792,0.573004
793,0.845854
794,0.817345
795,0.861038
796,0.842716
797,0.797804
798,0.835169
799,0.770828
800,0.816583
801,0.562315
802,0.628441
803,0.513439
804,0.583755
805,0.234408
806,0.290758
807,0.205061
808,0.258174
809,0.129621
810,0.126959
811,0.144569
812,0.134388
813,0.339396
814,0.280445
815,0.388154
816,0.324776
817,0.685311
818,0.623446
819,0.729667
820,0.669795
821,0.8709
822,0.86086
823,0.875511
824,0.872109
825,0.740654
826,0.792547
827,0.704658
828,0.759874
829,0.467665
830,0.540408
831,0.425723
832,0.498145
833,0.183106
834,0.229741
835,0.168065
836,0.204704
837,0.165989
838,0.147199
839,0.19151
840,0.160768
841,0.437685
842,0.371559
843,0.486561
844,0.416245
845,0.765592
846,0.709242
847,0.794939
848,0.741826
849,0.870379
850,0.873041
851,0.855431
852,0.865612
853,0.719555
854,0.679633
855,0.38345
856,0.453787
857,0.342196
858,0.407112
859,0.152974
860,0.177568
861,0.141253
862,0.156094
863,0.220286
864,0.180443
865,0.253158
866,0.20437
867,0.532335
868,0.459592
869,0.574277
870,0.501855
871,0.816894
872,0.770259
873,0.831935
874,0.795296
875,0.834011
876,0.63881
877,0.592852
878,0.658144
879,0.298887
880,0.360945
881,0.260967
882,0.319796
883,0.133584
884,0.142131
885,0.133952
886,0.13244
887,0.285725
888,0.229517
889,0.320367
890,0.260086
891,0.61655
892,0.546213
893,0.657804
894,0.545617
895,0.615243
896,0.49998
897,0.571696
898,0.229541
899,0.283777
900,0.201926
901,0.247788
902,0.139181
903,0.12934
904,0.152556
905,0.13553
906,0.36119
907,0.298415
908,0.455412
909,0.526019
910,0.408272
911,0.47719
912,0.176266
913,0.213908
914,0.154146
915,0.660604
916,0.361558
917,0.426996
918,0.611846
919,0.695538
920,0.875888
921,0.855589
922,0.819785
923,0.85412
924,0.807853
925,0.846796
926,0.680282
927,0.76078
928,0.698169
929,0.877772
930,0.862131
931,0.880687
932,0.870117
933,0.795916
934,0.84063
935,0.784638
936,0.829537
937,0.203862
938,0.512424
939,0.434346
940,0.532582
941,0.453429
942,0.773178
943,0.712212
944,0.786415
945,0.728898
946,0.883912
947,0.875342
948,0.881092
949,0.87791
950,0.770383
951,0.820519
952,0.757683
953,0.809367
954,0.12602
955,0.118021
956,0.274086
957,0.215329
958,0.289332
959,0.227809
960,0.550105
961,0.471262
962,0.569382
963,0.49184
964,0.798812
965,0.74489
966,0.812379
967,0.760745
968,0.879952
969,0.879991
970,0.876436
971,0.881634
972,0.741481
973,0.796138
974,0.725914
975,0.784671
976,0.214574
977,0.159115
978,0.202284
979,0.131615
980,0.119875
981,0.13884
982,0.123306
983,0.304305
984,0.241451
985,0.322563
986,0.257475
987,0.589941
988,0.512288
989,0.609112
990,0.53124
991,0.822093
992,0.77161
993,0.830244
994,0.785426
995,0.87398
996,0.881979
997,0.868385
998,0.880125
999,0.710668
1000,0.772191
1001,0.695695
1002,0.758549
1003,0.355335
1004,0.430796
1005,0.337603
1006,0.410912
1007,0.15185
1008,0.189888
1009,0.144891
1010,0.178152
1011,0.146009
1012,0.124716
1013,0.151676
1014,0.126414
1015,0.341472
1016,0.272688
1017,0.35883
1018,0.289231
1019,0.626206
1020,0.549456
1021,0.644665
1022,0.569204
1023,0.840885
1024,0.797716
1025,0.84815
1026,0.810112
1027,0.861159
1028,0.876694
1029,0.85399
1030,0.875284
1031,0.742525
1032,0.727312
1033,0.604541
1034,0.677369
1035,0.585109
1036,0.658861
1037,0.319524
1038,0.391881
1039,0.301815
1040,0.373505
1041,0.137749
1042,0.169917
1043,0.131887
1044,0.158694
1045,0.161047
1046,0.134282
1047,0.172974
1048,0.139552
1049,0.376323
1050,0.304461
1051,0.395459
1052,0.32263
1053,0.662397
1054,0.589088
1055,0.680476
1056,0.608119
1057,0.85511
1058,0.821848
1059,0.862251
1060,0.830083
1061,0.848324
1062,0.873586
1063,0.838954
1064,0.865718
1065,0.710769
1066,0.56568
1067,0.641706
1068,0.546413
1069,0.622794
1070,0.2869
1071,0.354765
1072,0.269157
1073,0.337169
1074,0.127361
1075,0.151412
1076,0.124112
1077,0.144411
1078,0.180215
1079,0.145881
1080,0.192147
1081,0.153205
1082,0.41489
1083,0.341139
1084,0.43432
1085,0.358294
1086,0.698185
1087,0.626495
1088,0.7131
1089,0.645235
1090,0.868113
1091,0.841306
1092,0.872638
1093,0.848588
1094,0.827026
1095,0.860448
1096,0.526711
1097,0.604154
1098,0.507296
1099,0.584966
1100,0.25502
1101,0.319718
1102,0.23922
1103,0.301831
1104,0.122228
1105,0.137869
1106,0.119313
1107,0.129883
1108,0.204084
1109,0.15937
1110,0.215362
1111,0.170463
1112,0.453587
1113,0.377207
1114,0.473289
1115,0.395847
1116,0.730843
1117,0.662831
1118,0.74498
1119,0.487576
1120,0.565654
1121,0.467418
1122,0.546571
1123,0.226822
1124,0.287788
1125,0.213585
1126,0.271102
1127,0.116089
1128,0.124658
1129,0.118908
1130,0.12209
1131,0.229617
1132,0.179481
1133,0.242317
1134,0.190633
1135,0.492704
1136,0.415033
1137,0.449895
1138,0.528738
1139,0.430618
1140,0.50816
1141,0.201188
1142,0.25511
1143,0.187622
1144,0.239255
1145,0.120048
1146,0.120009
1147,0.123564
1148,0.118366
1149,0.258519
1150,0.677437
1151,0.410059
1152,0.487712
1153,0.390888
1154,0.46876
1155,0.177907
1156,0.22839
1157,0.169756
1158,0.658528
1159,0.64117
1160,0.373794
1161,0.450544
1162,0.623677
1163,0.73923
1164,0.759597
1165,0.657144
1166,0.856987
1167,0.855543
1168,0.849361
1169,0.856558
1170,0.146751
1171,0.327971
1172,0.479592
1173,0.455982
1174,0.781305
1175,0.765511
1176,0.846866
1177,0.840435
1178,0.794881
1179,0.813054
1180,0.702733
1181,0.724237
1182,0.26256
1183,0.173112
1184,0.184642
1185,0.197961
1186,0.187131
1187,0.289178
1188,0.268557
1189,0.612156
1190,0.587386
1191,0.729135
1192,0.706144
1193,0.870514
1194,0.87034
1195,0.837662
1196,0.84404
1197,0.422734
1198,0.449907
1199,0.304179
1200,0.326979
1201,0.147679
1202,0.149084
1203,0.167693
1204,0.156999
1205,0.405409
1206,0.379133
1207,0.533929
1208,0.504729
1209,0.814226
1210,0.79475
1211,0.854871
1212,0.847323
1213,0.760974
1214,0.775332
1215,0.630266
1216,0.655468
1217,0.502965
1218,0.530444
1219,0.212051
1220,0.228496
1221,0.156649
1222,0.164588
1223,0.229455
1224,0.212064
1225,0.326212
1226,0.302205
1227,0.655481
1228,0.62942
1229,0.75791
1230,0.73744
1231,0.851474
1232,0.853249
1233,0.802039
1234,0.812869
1235,0.375703
1236,0.400328
1237,0.263935
1238,0.283678
1239,0.149055
1240,0.146028
1241,0.18262
1242,0.171069
1243,0.449331
1244,0.422204
1245,0.577266
1246,0.550093
1247,0.826888
1248,0.815358
1249,0.852321
1250,0.850916
1251,0.710822
1252,0.731443
1253,0.581455
1254,0.605589
1255,0.448809
1256,0.472264
1257,0.182811
1258,0.192854
1259,0.143014
1260,0.144457
1261,0.26077
1262,0.240403
1263,0.369734
1264,0.344532
1265,0.695821
1266,0.673021
1267,0.787949
1268,0.771504
1269,0.832307
1270,0.843
1271,0.770545
1272,0.787936
1273,0.650303
1274,0.672029
1275,0.321378
1276,0.342855
1277,0.218695
1278,0.234489
1279,0.150639
1280,0.143442
1281,0.205119
1282,0.186946
1283,0.497035
1284,0.469556
1285,0.624297
1286,0.599672
1287,0.843351
1288,0.835412
1289,0.850945
1290,0.853972
1291,0.697795
1292,0.520408
1293,0.544018
1294,0.387844
1295,0.412614
1296,0.153134
1297,0.159565
1298,0.129486
1299,0.12966
1300,0.297267
1301,0.275763
1302,0.418545
1303,0.394411
1304,0.736065
1305,0.716322
1306,0.817189
1307,0.807146
1308,0.81738
1309,0.828931
1310,0.594591
1311,0.620867
1312,0.270865
1313,0.293856
1314,0.185774
1315,0.20525
1316,0.162338
1317,0.15596
1318,0.239026
1319,0.224668
1320,0.551191
1321,0.527735
1322,0.678622
1323,0.466071
1324,0.495271
1325,0.344519
1326,0.37058
1327,0.145129
1328,0.152677
1329,0.148526
1330,0.349697
1331,0.673788
1332,0.55067
1333,0.577796
1334,0.24209
1335,0.743638
1336,0.776536
1337,0.711763
1338,0.869459
1339,0.860607
1340,0.869199
1341,0.709471
1342,0.547009
1343,0.501612
1344,0.806196
1345,0.777563
1346,0.847715
1347,0.828769
1348,0.827002
1349,0.845574
1350,0.774407
1351,0.803294
1352,0.130541
1353,0.256362
1354,0.223463
1355,0.329161
1356,0.290529
1357,0.632902
1358,0.590691
1359,0.712364
1360,0.674538
1361,0.868755
1362,0.860501
1363,0.867751
1364,0.870403
1365,0.709423
1366,0.744945
1367,0.288237
1368,0.193804
1369,0.222436
1370,0.139393
1371,0.1308
1372,0.172998
1373,0.154426
1374,0.414072
1375,0.371419
1376,0.503078
1377,0.45674
1378,0.779133
1379,0.746196
1380,0.827593
1381,0.803939
1382,0.846018
1383,0.858242
1384,0.802126
1385,0.826041
1386,0.452991
1387,0.498388
1388,0.367098
1389,0.409309
1390,0.152285
1391,0.17123
1392,0.131245
1393,0.139499
1394,0.225593
1395,0.196706
1396,0.290577
1397,0.255055
1398,0.590319
1399,0.545884
1400,0.673853
1401,0.632494
1402,0.858861
1403,0.847025
1404,0.870898
1405,0.670838
1406,0.585928
1407,0.628581
1408,0.287636
1409,0.325462
1410,0.220868
1411,0.253804
1412,0.132249
1413,0.129597
1414,0.153982
1415,0.141758
1416,0.370099
1417,0.328607
1418,0.457216
1419,0.41308
1420,0.746773
1421,0.496922
1422,0.543261
1423,0.409682
1424,0.454116
1425,0.172407
1426,0.196061
1427,0.141139
1428,0.152975
1429,0.197875
1430,0.173959
1431,0.629902
1432,0.671393
1433,0.326147
1434,0.367506
1435,0.253228
1436,0.129102
1437,0.542785
1438,0.58692
1439,0.739548
1440,0.78219
1441,0.780228
1442,0.884426
1443,0.867344
1444,0.87886
1445,0.692286
1446,0.739429
1447,0.691384
1448,0.639558
1449,0.584584
1450,0.843892
1451,0.814738
1452,0.865339
1453,0.844035
1454,0.843521
1455,0.864608
1456,0.814181
1457,0.84354
1458,0.308493
1459,0.414417
1460,0.359739
1461,0.690621
1462,0.639025
1463,0.738511
1464,0.691422
1465,0.879163
1466,0.867516
1467,0.884297
1468,0.881188
1469,0.78026
1470,0.815961
1471,0.120801
1472,0.132748
1473,0.185192
1474,0.155654
1475,0.219057
1476,0.183247
1477,0.47078
1478,0.414447
1479,0.528366
1480,0.470704
1481,0.781789
1482,0.738953
1483,0.816537
1484,0.880877
1485,0.585649
1486,0.308798
1487,0.218824
1488,0.261521
1489,0.115562
1490,0.118855
1491,0.118611
1492,0.115486
1493,0.260308
1494,0.217567
1495,0.307446
1496,0.260512
1497,0.584811
1498,0.528509
1499,0.471729
1500,0.529279
1501,0.415335
1502,0.471841
1503,0.184447
1504,0.220573
1505,0.156694
1506,0.186129
1507,0.132262
1508,0.120601
1509,0.155634
1510,0.360042
1511,0.640311
1512,0.360654
1513,0.415338
1514,0.309516
1515,0.360982
1516,0.135081
1517,0.156364
1518,0.585435
1519,0.640211
1520,0.529239
1521,0.261685
1522,0.754527
1523,0.800517
1524,0.895196
1525,0.878347
1526,0.892687
1527,0.728883
1528,0.779466
1529,0.701345
1530,0.755109
1531,0.643768
1532,0.868569
1533,0.840097
1534,0.880536
1535,0.857168
1536,0.868217
1537,0.888018
1538,0.855748
1539,0.879904
1540,0.728109
1541,0.700353
1542,0.388652
1543,0.485007
1544,0.419755
1545,0.730526
1546,0.674266
1547,0.757489
1548,0.703705
1549,0.888898
1550,0.869666
1551,0.894022
1552,0.880624
1553,0.837708
1554,0.866715
1555,0.818789
1556,0.852953
1557,0.104804
1558,0.245473
1559,0.199483
1560,0.271117
1561,0.220534
1562,0.517331
1563,0.452287
1564,0.55083
1565,0.485719
1566,0.781041
1567,0.731185
1568,0.803347
1569,0.756581
1570,0.895988
1571,0.888311
1572,0.89575
1573,0.894185
1574,0.798658
1575,0.837647
1576,0.778348
1577,0.821132
1578,0.131431
1579,0.159903
1580,0.121653
1581,0.107313
1582,0.131783
1583,0.111982
1584,0.298655
1585,0.244891
1586,0.328632
1587,0.271891
1588,0.583297
1589,0.517717
1590,0.61438
1591,0.550098
1592,0.822796
1593,0.780485
1594,0.841132
1595,0.803424
1596,0.893195
1597,0.896885
1598,0.887043
1599,0.611348
1600,0.356232
1601,0.269474
1602,0.325734
1603,0.119463
1604,0.142832
1605,0.111102
1606,0.130334
1607,0.144252
1608,0.120096
1609,0.162292
1610,0.133285
1611,0.358615
1612,0.299647
1613,0.389238
1614,0.329068
1615,0.644514
1616,0.582506
1617,0.675525
1618,0.614451
1619,0.856766
1620,0.821906
1621,0.514993
1622,0.580245
1623,0.482669
1624,0.547712
1625,0.242511
1626,0.296294
1627,0.218959
1628,0.268815
1629,0.105978
1630,0.119375
1631,0.104013
1632,0.111689
1633,0.18121
1634,0.147047
1635,0.201341
1636,0.162353
1637,0.421717
1638,0.358903
1639,0.453668
1640,0.70341
1641,0.44917
1642,0.514281
1643,0.416703
1644,0.482283
1645,0.196653
1646,0.243419
1647,0.177204
1648,0.219515
1649,0.104249
1650,0.105815
1651,0.106805
1652,0.103115
1653,0.221652
1654,0.178868
1655,0.671368
1656,0.641385
1657,0.38562
1658,0.449903
1659,0.355486
1660,0.417494
1661,0.158868
1662,0.196576
1663,0.143234
1664,0.178094
1665,0.112957
1666,0.610762
1667,0.670931
1668,0.578283
1669,0.641097
1670,0.324475
1671,0.385549
1672,0.29659
1673,0.546332
1674,0.75704
1675,0.807163
1676,0.900993
1677,0.882603
1678,0.899948
1679,0.745665
1680,0.796591
1681,0.733808
1682,0.788774
1683,0.713384
1684,0.89049
1685,0.867859
1686,0.89612
1687,0.874816
1688,0.877746
1689,0.898763
1690,0.874338
1691,0.895975
1692,0.72363
1693,0.778887
1694,0.710797
1695,0.767128
1696,0.570598
1697,0.501029
1698,0.779925
1699,0.725725
1700,0.790484
1701,0.738041
1702,0.899291
1703,0.879916
1704,0.901155
1705,0.883272
1706,0.867809
1707,0.890659
1708,0.85911
1709,0.886172
1710,0.75742
1711,0.746084
1712,0.277112
1713,0.351172
1714,0.288711
1715,0.585635
1716,0.516337
1717,0.598917
1718,0.529092
1719,0.800467
1720,0.747987
1721,0.808754
1722,0.757857
1723,0.901024
1724,0.887303
1725,0.903876
1726,0.891707
1727,0.854947
1728,0.88343
1729,0.848092
1730,0.8777
1731,0.734633
1732,0.722888
1733,0.099715
1734,0.167124
1735,0.131777
1736,0.174921
1737,0.140054
1738,0.365186
1739,0.301094
1740,0.377677
1741,0.312775
1742,0.611507
1743,0.542552
1744,0.624587
1745,0.55619
1746,0.815365
1747,0.76751
1748,0.824353
1749,0.778296
1750,0.904054
1751,0.894959
1752,0.904747
1753,0.897269
1754,0.839584
1755,0.873193
1756,0.832876
1757,0.868223
1758,0.711289
1759,0.150612
1760,0.19115
1761,0.095893
1762,0.099163
1763,0.098133
1764,0.097303
1765,0.185193
1766,0.14514
1767,0.192857
1768,0.152145
1769,0.390536
1770,0.325323
1771,0.404625
1772,0.337913
1773,0.636633
1774,0.569474
1775,0.651125
1776,0.584253
1777,0.832996
1778,0.788366
1779,0.840515
1780,0.798854
1781,0.903539
1782,0.900285
1783,0.904108
1784,0.900837
1785,0.825079
1786,0.859946
1787,0.814807
1788,0.85486
1789,0.623502
1790,0.389156
1791,0.310146
1792,0.375186
1793,0.145132
1794,0.185223
1795,0.139803
1796,0.175422
1797,0.09859
1798,0.096899
1799,0.100085
1800,0.094513
1801,0.204349
1802,0.161323
1803,0.21218
1804,0.166651
1805,0.417362
1806,0.350102
1807,0.431817
1808,0.364043
1809,0.663968
1810,0.597505
1811,0.676815
1812,0.610844
1813,0.849388
1814,0.80885
1815,0.854868
1816,0.814777
1817,0.901867
1818,0.902697
1819,0.90141
1820,0.903101
1821,0.807143
1822,0.847855
1823,0.795651
1824,0.838677
1825,0.541195
1826,0.609592
1827,0.526059
1828,0.595121
1829,0.299016
1830,0.362346
1831,0.285815
1832,0.348728
1833,0.132885
1834,0.166484
1835,0.125577
1836,0.158293
1837,0.102411
1838,0.095473
1839,0.104407
1840,0.095544
1841,0.221082
1842,0.174668
1843,0.232574
1844,0.185048
1845,0.445453
1846,0.376498
1847,0.458805
1848,0.390407
1849,0.689854
1850,0.624814
1851,0.700983
1852,0.637654
1853,0.860197
1854,0.824578
1855,0.867115
1856,0.833516
1857,0.899915
1858,0.905487
1859,0.897589
1860,0.904527
1861,0.78782
1862,0.833349
1863,0.778918
1864,0.825331
1865,0.512644
1866,0.582615
1867,0.498713
1868,0.567838
1869,0.274254
1870,0.335014
