,LC,PC,L/D,B/Dr,L/B,Fr
152,-5.0,0.565,4.77,3.99,3.15,0.425
153,-5.0,0.565,4.77,3.99,3.15,0.45
154,0.0,0.565,5.1,3.94,3.51,0.125
155,0.0,0.565,5.1,3.94,3.51,0.15
156,0.0,0.565,5.1,3.94,3.51,0.175
157,0.0,0.565,5.1,3.94,3.51,0.2
158,0.0,0.565,5.1,3.94,3.51,0.225
159,0.0,0.565,5.1,3.94,3.51,0.25
160,0.0,0.565,5.1,3.94,3.51,0.275
161,0.0,0.565,5.1,3.94,3.51,0.3
162,0.0,0.565,5.1,3.94,3.51,0.325
163,0.0,0.565,5.1,3.94,3.51,0.35
164,0.0,0.565,5.1,3.94,3.51,0.375
165,0.0,0.565,5.1,3.94,3.51,0.4
166,0.0,0.565,5.1,3.94,3.51,0.425
167,0.0,0.565,5.1,3.94,3.51,0.45
168,-5.0,0.565,5.1,3.94,3.51,0.125
169,-5.0,0.565,5.1,3.94,3.51,0.15
170,-5.0,0.565,5.1,3.94,3.51,0.175
171,-5.0,0.565,5.1,3.94,3.51,0.2
172,-5.0,0.565,5.1,3.94,3.51,0.225
173,-5.0,0.565,5.1,3.94,3.51,0.25
174,-5.0,0.565,5.1,3.94,3.51,0.275
175,-5.0,0.565,5.1,3.94,3.51,0.3
176,-5.0,0.565,5.1,3.94,3.51,0.325
177,-5.0,0.565,5.1,3.94,3.51,0.35
178,-5.0,0.565,5.1,3.94,3.51,0.375
179,-5.0,0.565,5.1,3.94,3.51,0.4
180,-5.0,0.565,5.1,3.94,3.51,0.425
181,-5.0,0.565,5.1,3.94,3.51,0.45
182,-2.3,0.53,5.11,3.69,3.51,0.125
183,-2.3,0.53,5.11,3.69,3.51,0.15
184,-2.3,0.53,5.11,3.69,3.51,0.175
185,-2.3,0.53,5.11,3.69,3.51,0.2
186,-2.3,0.53,5.11,3.69,3.51,0.225
187,-2.3,0.53,5.11,3.69,3.51,0.25
188,-2.3,0.53,5.11,3.69,3.51,0.275
189,-2.3,0.53,5.11,3.69,3.51,0.3
190,-2.3,0.53,5.11,3.69,3.51,0.325
191,-2.3,0.53,5.11,3.69,3.51,0.35
192,-2.3,0.53,5.11,3.69,3.51,0.375
193,-2.3,0.53,5.11,3.69,3.51,0.4
194,-2.3,0.53,5.11,3.69,3.51,0.425
195,-2.3,0.53,5.11,3.69,3.51,0.45
196,-2.3,0.53,4.76,3.68,3.16,0.125
197,-2.3,0.53,4.76,3.68,3.16,0.15
198,-2.3,0.53,4.76,3.68,3.16,0.175
199,-2.3,0.53,4.76,3.68,3.16,0.2
200,-2.3,0.53,4.76,3.68,3.16,0.225
201,-2.3,0.53,4.76,3.68,3.16,0.25
202,-2.3,0.53,4.76,3.68,3.16,0.275
203,-2.3,0.53,4.76,3.68,3.16,0.3
204,-2.3,0.53,4.76,3.68,3.16,0.325
205,-2.3,0.53,4.76,3.68,3.16,0.35
206,-2.3,0.53,4.76,3.68,3.16,0.375
207,-2.3,0.53,4.76,3.68,3.16,0.4
208,-2.3,0.53,4.76,3.68,3.16,0.425
209,-2.3,0.53,4.76,3.68,3.16,0.45
210,-2.3,0.53,4.34,2.81,3.15,0.125
211,-2.3,0.53,4.34,2.81,3.15,0.15
212,-2.3,0.53,4.34,2.81,3.15,0.175
213,-2.3,0.53,4.34,2.81,3.15,0.2
214,-2.3,0.53,4.34,2.81,3.15,0.225
215,-2.3,0.53,4.34,2.81,3.15,0.25
216,-2.3,0.53,4.34,2.81,3.15,0.275
217,-2.3,0.53,4.34,2.81,3.15,0.3
218,-2.3,0.53,4.34,2.81,3.15,0.325
219,-2.3,0.53,4.34,2.81,3.15,0.35
220,-2.3,0.53,4.34,2.81,3.15,0.375
221,-2.3,0.53,4.34,2.81,3.15,0.4
222,-2.3,0.53,4.34,2.81,3.15,0.425
223,-2.3,0.53,4.34,2.81,3.15,0.45
224,0.0,0.6,4.78,4.24,3.15,0.125
225,0.0,0.6,4.78,4.24,3.15,0.15
226,0.0,0.6,4.78,4.24,3.15,0.175
227,0.0,0.6,4.78,4.24,3.15,0.2
228,0.0,0.6,4.78,4.24,3.15,0.225
229,0.0,0.6,4.78,4.24,3.15,0.25
230,0.0,0.6,4.78,4.24,3.15,0.275
231,0.0,0.6,4.78,4.24,3.15,0.3
232,0.0,0.6,4.78,4.24,3.15,0.325
233,0.0,0.6,4.78,4.24,3.15,0.35
234,0.0,0.6,4.78,4.24,3.15,0.375
235,0.0,0.6,4.78,4.24,3.15,0.4
236,0.0,0.6,4.78,4.24,3.15,0.425
237,0.0,0.6,4.78,4.24,3.15,0.45
238,-5.0,0.6,4.78,4.24,3.15,0.125
239,-5.0,0.6,4.78,4.24,3.15,0.15
240,-5.0,0.6,4.78,4.24,3.15,0.175
241,-5.0,0.6,4.78,4.24,3.15,0.2
242,-5.0,0.6,4.78,4.24,3.15,0.225
243,-5.0,0.6,4.78,4.24,3.15,0.25
244,-5.0,0.6,4.78,4.24,3.15,0.275
245,-5.0,0.6,4.78,4.24,3.15,0.3
246,-5.0,0.6,4.78,4.24,3.15,0.325
247,-5.0,0.6,4.78,4.24,3.15,0.35
248,-5.0,0.6,4.78,4.24,3.15,0.375
249,-5.0,0.6,4.78,4.24,3.15,0.4
250,-5.0,0.6,4.78,4.24,3.15,0.425
251,-5.0,0.6,4.78,4.24,3.15,0.45
252,0.0,0.53,4.78,3.75,3.15,0.125
253,0.0,0.53,4.78,3.75,3.15,0.15
254,0.0,0.53,4.78,3.75,3.15,0.175
255,0.0,0.53,4.78,3.75,3.15,0.2
256,0.0,0.53,4.78,3.75,3.15,0.225
257,0.0,0.53,4.78,3.75,3.15,0.25
258,0.0,0.53,4.78,3.75,3.15,0.275
259,0.0,0.53,4.78,3.75,3.15,0.3
260,0.0,0.53,4.78,3.75,3.15,0.325
261,0.0,0.53,4.78,3.75,3.15,0.35
262,0.0,0.53,4.78,3.75,3.15,0.375
263,0.0,0.53,4.78,3.75,3.15,0.4
264,0.0,0.53,4.78,3.75,3.15,0.425
265,0.0,0.53,4.78,3.75,3.15,0.45
266,-5.0,0.53,4.78,3.75,3.15,0.125
267,-5.0,0.53,4.78,3.75,3.15,0.15
268,-5.0,0.53,4.78,3.75,3.15,0.175
269,-5.0,0.53,4.78,3.75,3.15,0.2
270,-5.0,0.53,4.78,3.75,3.15,0.225
271,-5.0,0.53,4.78,3.75,3.15,0.25
272,-5.0,0.53,4.78,3.75,3.15,0.275
273,-5.0,0.53,4.78,3.75,3.15,0.3
274,-5.0,0.53,4.78,3.75,3.15,0.325
275,-5.0,0.53,4.78,3.75,3.15,0.35
276,-5.0,0.53,4.78,3.75,3.15,0.375
277,-5.0,0.53,4.78,3.75,3.15,0.4
278,-5.0,0.53,4.78,3.75,3.15,0.425
279,-5.0,0.53,4.78,3.75,3.15,0.45
280,-2.3,0.6,5.1,4.17,3.51,0.125
281,-2.3,0.6,5.1,4.17,3.51,0.15
282,-2.3,0.6,5.1,4.17,3.51,0.175
283,-2.3,0.6,5.1,4.17,3.51,0.2
284,-2.3,0.6,5.1,4.17,3.51,0.225
285,-2.3,0.6,5.1,4.17,3.51,0.25
286,-2.3,0.6,5.1,4.17,3.51,0.275
287,-2.3,0.6,5.1,4.17,3.51,0.3
288,-2.3,0.6,5.1,4.17,3.51,0.325
289,-2.3,0.6,5.1,4.17,3.51,0.35
290,-2.3,0.6,5.1,4.17,3.51,0.375
291,-2.3,0.6,5.1,4.17,3.51,0.4
292,-2.3,0.6,5.1,4.17,3.51,0.425
293,-2.3,0.6,5.1,4.17,3.51,0.45
294,-2.3,0.6,4.34,4.23,2.73,0.125
295,-2.3,0.6,4.34,4.23,2.73,0.15
296,-2.3,0.6,4.34,4.23,2.73,0.175
297,-2.3,0.6,4.34,4.23,2.73,0.2
298,-2.3,0.6,4.34,4.23,2.73,0.225
299,-2.3,0.6,4.34,4.23,2.73,0.25
300,-2.3,0.6,4.34,4.23,2.73,0.275
301,-2.3,0.6,4.34,4.23,2.73,0.3
302,-2.3,0.6,4.34,4.23,2.73,0.325
303,-2.3,0.6,4.34,4.23,2.73,0.35
304,-2.3,0.6,4.34,4.23,2.73,0.375
305,-2.3,0.6,4.34,4.23,2.73,0.4
306,-2.3,0.6,4.34,4.23,2.73,0.425
307,-2.3,0.6,4.34,4.23,2.73,0.45
