,Calculated atomic coordinates w'
369,0.658877
370,0.703959
371,0.753707
372,0.745184
373,0.794794
374,0.840097
375,0.889703
376,0.218031
377,0.258171
378,0.307773
379,0.352976
380,0.402298
381,0.394128
382,0.443698
383,0.488861
384,0.538388
385,0.529155
386,0.578923
387,0.623631
388,0.673308
389,0.663472
390,0.713336
391,0.758171
392,0.807773
393,0.799034
394,0.848663
395,0.894128
396,0.943698
397,0.934661
398,0.984359
399,0.312218
400,0.406522
401,0.447819
402,0.497261
403,0.542721
404,0.592203
405,0.583443
406,0.632917
407,0.677771
408,0.727115
409,0.718031
410,0.767408
411,0.812218
412,0.861583
413,0.852976
414,0.902298
415,0.947819
416,0.997261
417,0.988861
418,0.501428
419,0.550974
420,0.596454
421,0.645976
422,0.637304
423,0.686813
424,0.731697
425,0.781389
426,0.771917
427,0.821493
428,0.866168
429,0.915963
430,0.906522
431,0.956126
432,0.691226
433,0.740894
434,0.786013
435,0.835682
436,0.826133
437,0.875872
438,0.920582
439,0.970136
440,0.960641
441,0.880507
442,0.930106
443,0.974832
444,0.027645
445,0.011449
446,0.049284
447,0.108202
448,0.065134
449,0.123988
450,0.161619
451,0.220549
452,0.015505
453,0.074254
454,0.032915
455,0.09147
456,0.129742
457,0.188368
458,0.14596
459,0.204668
460,0.242453
461,0.30101
462,0.042749
463,0.058162
464,0.095947
465,0.15499
466,0.11286
467,0.171647
468,0.209887
469,0.268597
470,0.226111
471,0.284801
472,0.322539
473,0.381113
474,0.338874
475,0.397594
476,0.494388
477,0.080357
478,0.139513
479,0.177153
480,0.23628
481,0.193108
482,0.252364
483,0.290468
484,0.349563
485,0.306279
486,0.36512
487,0.402822
488,0.461692
489,0.418915
490,0.47753
491,0.515505
492,0.574254
493,0.25833
494,0.317231
495,0.274262
496,0.333405
497,0.37171
498,0.430889
499,0.387202
500,0.446195
501,0.483726
502,0.542749
503,0.499323
504,0.558162
505,0.595947
506,0.65499
507,0.61286
508,0.671647
509,0.355425
510,0.414277
511,0.452635
512,0.511449
513,0.468641
514,0.527645
515,0.565134
516,0.623988
517,0.580357
518,0.639513
519,0.677153
520,0.73628
521,0.693108
522,0.752364
523,0.790468
524,0.849563
525,0.435732
526,0.532915
527,0.59147
528,0.549284
529,0.608202
530,0.64596
531,0.704668
532,0.661619
533,0.720549
534,0.75833
535,0.817231
536,0.774262
537,0.833405
538,0.87171
539,0.930889
540,0.887202
541,0.946195
542,0.629742
543,0.688368
544,0.726111
545,0.784801
546,0.742453
547,0.80101
548,0.838874
549,0.897594
550,0.855425
551,0.914277
552,0.952635
553,0.968641
554,0.709887
555,0.768597
556,0.806278
557,0.86512
558,0.822539
559,0.881113
560,0.918915
561,0.97753
562,0.935732
563,0.994389
564,0.902822
565,0.961692
566,0.983726
567,0.013639
568,0.02679
569,0.077763
570,0.05231
571,0.103247
572,0.142132
573,0.193091
574,0.026424
575,0.001174
576,0.052158
577,0.090956
578,0.141967
579,0.116409
580,0.167437
581,0.206176
582,0.257122
583,0.231918
584,0.282902
585,0.00077
586,0.03951
587,0.090456
588,0.065251
589,0.116236
590,0.15494
591,0.205936
592,0.180515
593,0.231453
594,0.270228
595,0.321294
596,0.295984
597,0.346972
598,0.385643
599,0.436581
600,0.03927
601,0.013848
602,0.064787
603,0.103562
604,0.154627
605,0.129317
606,0.180306
607,0.218976
608,0.269914
609,0.244572
610,0.29558
611,0.334508
612,0.385491
613,0.360124
614,0.411097
615,0.449743
616,0.50077
617,0.475465
618,0.526424
619,0.565251
620,0.616236
621,0.077905
622,0.128913
623,0.167841
624,0.218825
625,0.193457
626,0.24443
627,0.283076
628,0.334104
629,0.308798
630,0.359757
631,0.398585
632,0.449569
633,0.42429
634,0.475301
635,0.513848
636,0.564787
637,0.53951
638,0.590456
639,0.629317
640,0.680306
641,0.257623
642,0.308634
643,0.347181
644,0.39812
645,0.372843
646,0.423789
647,0.46265
648,0.513639
649,0.488273
650,0.53927
651,0.577905
652,0.628913
653,0.603562
654,0.654627
655,0.693457
656,0.74443
657,0.718976
658,0.769914
659,0.808798
660,0.859757
661,0.321607
662,0.372603
663,0.411238
664,0.462247
665,0.436895
666,0.487961
667,0.52679
668,0.577763
669,0.55231
670,0.603247
671,0.642132
672,0.69309
673,0.667841
674,0.718825
675,0.757623
676,0.808634
677,0.783076
678,0.834104
679,0.872843
680,0.923789
681,0.898585
682,0.949569
683,0.501175
684,0.552158
685,0.590956
686,0.641967
687,0.616409
688,0.667437
689,0.706176
690,0.757122
691,0.731918
692,0.782903
693,0.821607
694,0.872603
695,0.847181
696,0.89812
697,0.936895
698,0.987961
699,0.96265
700,0.65494
701,0.705936
702,0.680515
703,0.731453
704,0.770228
705,0.821294
706,0.795984
707,0.846972
708,0.885643
709,0.936581
710,0.911238
711,0.962246
712,0.744572
713,0.79558
714,0.834508
715,0.885491
716,0.860124
717,0.911097
718,0.949743
719,0.975465
720,0.92429
721,0.975301
722,0.988273
723,0.005256
724,0.011987
725,0.055959
726,0.042778
727,0.086656
728,0.123877
729,0.167775
730,0.025299
731,0.062835
732,0.107042
733,0.093469
734,0.137579
735,0.174847
736,0.21905
737,0.205154
738,0.24912
739,0.286693
740,0.330782
741,0.001605
742,0.045614
743,0.032333
744,0.076555
745,0.114092
746,0.158072
747,0.144621
748,0.188838
749,0.226276
750,0.270428
751,0.256251
752,0.300478
753,0.337773
754,0.381993
755,0.412807
756,0.494722
757,0.014438
758,0.052291
759,0.096293
760,0.083363
761,0.127158
762,0.164836
763,0.208865
764,0.195776
765,0.23968
766,0.277389
767,0.321378
768,0.307652
769,0.351718
770,0.388879
771,0.432891
772,0.419731
773,0.463857
774,0.501605
775,0.545614
776,0.035781
777,0.021414
778,0.065671
779,0.103237
780,0.147491
781,0.13397
782,0.178247
783,0.215868
784,0.260147
785,0.24644
786,0.290573
787,0.328255
788,0.372508
789,0.358771
790,0.40282
791,0.439919
792,0.484135
793,0.470558
794,0.514438
795,0.552291
796,0.596293
797,0.583363
798,0.627158
799,0.664836
800,0.708865
801,0.072879
802,0.117048
803,0.15446
804,0.198431
805,0.185179
806,0.229435
807,0.267191
808,0.311231
809,0.297673
810,0.341911
811,0.379529
812,0.423684
813,0.409966
814,0.454197
815,0.491499
816,0.535781
817,0.521414
818,0.565671
819,0.603237
820,0.647491
821,0.63397
822,0.678247
823,0.715868
824,0.760147
825,0.74644
826,0.790573
827,0.828255
828,0.872508
829,0.236177
830,0.28002
831,0.317938
832,0.361785
833,0.348852
834,0.392733
835,0.430504
836,0.474297
837,0.461258
838,0.505256
839,0.542778
840,0.586656
841,0.572879
842,0.617048
843,0.65446
844,0.698431
845,0.685179
846,0.729435
847,0.767191
848,0.811231
849,0.797673
850,0.841911
851,0.879529
852,0.923684
853,0.954197
854,0.368558
855,0.399487
856,0.443453
857,0.481082
858,0.525299
859,0.511987
860,0.555959
861,0.593469
862,0.637579
863,0.623877
864,0.667775
865,0.705154
866,0.74912
867,0.736177
868,0.78002
869,0.817938
870,0.861785
871,0.848852
872,0.892733
873,0.930504
874,0.974297
875,0.961258
876,0.450476
877,0.532333
878,0.576556
879,0.562835
880,0.607042
881,0.644621
882,0.688838
883,0.674847
884,0.71905
885,0.756251
886,0.800478
887,0.786693
888,0.830782
889,0.868558
890,0.912807
891,0.899487
892,0.943453
893,0.981082
894,0.614092
895,0.658072
896,0.695776
897,0.73968
898,0.726276
899,0.770428
900,0.807652
901,0.851718
902,0.837773
903,0.881993
904,0.919731
905,0.963857
906,0.950476
907,0.994722
908,0.777389
909,0.821378
910,0.858771
911,0.90282
912,0.888879
913,0.932891
914,0.970558
915,0.909966
916,0.939919
917,0.984135
918,0.991499
919,0.031901
920,0.001724
921,0.039956
922,0.034591
923,0.072878
924,0.108375
925,0.146516
926,0.007254
927,0.042681
928,0.080988
929,0.07552
930,0.113753
931,0.149174
932,0.187519
933,0.182028
934,0.220219
935,0.255753
936,0.294075
937,0.015477
938,0.009922
939,0.048229
940,0.0837
941,0.121941
942,0.116576
943,0.154919
944,0.190309
945,0.22858
946,0.222939
947,0.261243
948,0.296865
949,0.335221
950,0.32958
951,0.367877
952,0.403358
953,0.44165
954,0.018281
955,0.056628
956,0.050998
957,0.089298
958,0.12469
959,0.162998
960,0.157617
961,0.195847
962,0.231275
963,0.26961
964,0.263991
965,0.302345
966,0.337955
967,0.376212
968,0.370647
969,0.408953
970,0.444389
971,0.482761
972,0.477178
973,0.515477
974,0.550998
975,0.589298
976,0.023729
977,0.059246
978,0.09743
979,0.092168
980,0.130465
981,0.165827
982,0.203991
983,0.19855
984,0.236835
985,0.272391
986,0.310635
987,0.305015
988,0.343323
989,0.378847
990,0.417057
991,0.411724
992,0.450031
993,0.485489
994,0.523729
995,0.518281
996,0.556628
997,0.592168
998,0.630465
999,0.62469
1000,0.662998
1001,0.69855
1002,0.736835
1003,0.026292
1004,0.064514
1005,0.100012
1006,0.138276
1007,0.133071
1008,0.17118
1009,0.206589
1010,0.244841
1011,0.239506
1012,0.277708
1013,0.313273
1014,0.351531
1015,0.346017
1016,0.384248
1017,0.419679
1018,0.458003
1019,0.452638
1020,0.490861
1021,0.526292
1022,0.564514
1023,0.559246
1024,0.59743
1025,0.633071
1026,0.67118
1027,0.665827
1028,0.703991
1029,0.739506
1030,0.777708
1031,0.810635
1032,0.884248
1033,0.067317
1034,0.105673
1035,0.141156
1036,0.17941
1037,0.173813
1038,0.212182
1039,0.247619
1040,0.285881
1041,0.280267
1042,0.318596
1043,0.354159
1044,0.392424
1045,0.38699
1046,0.42526
1047,0.460691
1048,0.498958
1049,0.493609
1050,0.531901
1051,0.567317
1052,0.605673
1053,0.600012
1054,0.638276
1055,0.673813
1056,0.712182
1057,0.706589
1058,0.744841
1059,0.780267
1060,0.818596
1061,0.813273
1062,0.851531
1063,0.88699
1064,0.92526
1065,0.958003
1066,0.214939
1067,0.253125
1068,0.2886
1069,0.32692
1070,0.321398
1071,0.359707
1072,0.395137
1073,0.433434
1074,0.427961
1075,0.466287
1076,0.501724
1077,0.539956
1078,0.534591
1079,0.572878
1080,0.608375
1081,0.646516
1082,0.641156
1083,0.67941
1084,0.714939
1085,0.753125
1086,0.747619
1087,0.785881
1088,0.821398
1089,0.859707
1090,0.854159
1091,0.892424
1092,0.927961
1093,0.966286
1094,0.960691
1095,0.998958
1096,0.362434
1097,0.400646
1098,0.436105
1099,0.474375
1100,0.468988
1101,0.507254
1102,0.542681
1103,0.580988
1104,0.57552
1105,0.613753
1106,0.649174
1107,0.687519
1108,0.682028
1109,0.720219
1110,0.755753
1111,0.794075
1112,0.7886
1113,0.82692
1114,0.862434
1115,0.900646
1116,0.895137
1117,0.933434
1118,0.968988
1119,0.509922
1120,0.548229
1121,0.5837
1122,0.621941
1123,0.616577
1124,0.654919
1125,0.690309
1126,0.72858
1127,0.722938
1128,0.761243
1129,0.796865
1130,0.835221
1131,0.82958
1132,0.867877
1133,0.903358
1134,0.94165
1135,0.936105
1136,0.974375
1137,0.657617
1138,0.695847
1139,0.731275
1140,0.76961
1141,0.763991
1142,0.802345
1143,0.837955
1144,0.876212
1145,0.870647
1146,0.908953
1147,0.944389
1148,0.982761
1149,0.977178
1150,0.772391
1151,0.805015
1152,0.843323
1153,0.878847
1154,0.917057
1155,0.911724
1156,0.950031
1157,0.98549
1158,0.846017
1159,0.919679
1160,0.952638
1161,0.990861
1162,0.993609
1163,0.013525
1164,0.06375
1165,0.040204
1166,0.001483
1167,0.051746
1168,0.083261
1169,0.133448
1170,0.017783
1171,0.029051
1172,0.059878
1173,0.110066
1174,0.071212
1175,0.121421
1176,0.152817
1177,0.203119
1178,0.165055
1179,0.215169
1180,0.246563
1181,0.296759
1182,0.006167
1183,0.037488
1184,0.08761
1185,0.048818
1186,0.098957
1187,0.129917
1188,0.179967
1189,0.141245
1190,0.191508
1191,0.222836
1192,0.273133
1193,0.234682
1194,0.285039
1195,0.316493
1196,0.366802
1197,0.025708
1198,0.075876
1199,0.107081
1200,0.157279
1201,0.118585
1202,0.16865
1203,0.199511
1204,0.249631
1205,0.211018
1206,0.260999
1207,0.292362
1208,0.342476
1209,0.304698
1210,0.354848
1211,0.386324
1212,0.436408
1213,0.397904
1214,0.44808
1215,0.095387
1216,0.14564
1217,0.177039
1218,0.227137
1219,0.188347
1220,0.238514
1221,0.26943
1222,0.319573
1223,0.280596
1224,0.330861
1225,0.362174
1226,0.412411
1227,0.374072
1228,0.42439
1229,0.455888
1230,0.506167
1231,0.467631
1232,0.517783
1233,0.548818
1234,0.598957
1235,0.258254
1236,0.308269
1237,0.339166
1238,0.389187
1239,0.350532
1240,0.400701
1241,0.431807
1242,0.481922
1243,0.443947
1244,0.494157
1245,0.525708
1246,0.575876
1247,0.537488
1248,0.58761
1249,0.618585
1250,0.66865
1251,0.629917
1252,0.679967
1253,0.327828
1254,0.378003
1255,0.409036
1256,0.459191
1257,0.420221
1258,0.470287
1259,0.501483
1260,0.551746
1261,0.513525
1262,0.56375
1263,0.595387
1264,0.64564
1265,0.607081
1266,0.657279
1267,0.688347
1268,0.738514
1269,0.699511
1270,0.749631
1271,0.780596
1272,0.830861
1273,0.478969
1274,0.529051
1275,0.490076
1276,0.540204
1277,0.571212
1278,0.621421
1279,0.583261
1280,0.633448
1281,0.665055
1282,0.715169
1283,0.677039
1284,0.727137
1285,0.758254
1286,0.808269
1287,0.76943
1288,0.819573
1289,0.850532
1290,0.900701
1291,0.912411
1292,0.559878
1293,0.610066
1294,0.641245
1295,0.691508
1296,0.652817
1297,0.703119
1298,0.734682
1299,0.785039
1300,0.746563
1301,0.796759
1302,0.827828
1303,0.878003
1304,0.839166
1305,0.889187
1306,0.920221
1307,0.970287
1308,0.931807
1309,0.981922
1310,0.711018
1311,0.760999
1312,0.722836
1313,0.773133
1314,0.804698
1315,0.854848
1316,0.816493
1317,0.866802
1318,0.897904
1319,0.94808
1320,0.909036
1321,0.959191
1322,0.990076
1323,0.792362
1324,0.842476
1325,0.874072
1326,0.92439
1327,0.886324
1328,0.936408
1329,0.967631
1330,0.978969
1331,0.862174
1332,0.943947
1333,0.994157
1334,0.955888
1335,0.021102
1336,0.110777
1337,0.033502
1338,0.072174
1339,0.136288
1340,0.226114
1341,0.264464
1342,0.059198
1343,0.148914
1344,0.097541
1345,0.187404
1346,0.251714
1347,0.341513
1348,0.290125
1349,0.379912
1350,0.443869
1351,0.533646
1352,0.072174
1353,0.021102
1354,0.110777
1355,0.174642
1356,0.264464
1357,0.212953
1358,0.30285
1359,0.367102
1360,0.457029
1361,0.405558
1362,0.49531
1363,0.559151
1364,0.649041
1365,0.598021
1366,0.687967
1367,0.033502
1368,0.097541
1369,0.187404
1370,0.136289
1371,0.226114
1372,0.290125
1373,0.379912
1374,0.328406
1375,0.418281
1376,0.482634
1377,0.57236
1378,0.520973
1379,0.61057
1380,0.674431
1381,0.764073
1382,0.713326
1383,0.803071
1384,0.867309
1385,0.956995
1386,0.059198
1387,0.148914
1388,0.212953
1389,0.30285
1390,0.251714
1391,0.341513
1392,0.405558
1393,0.49531
1394,0.443869
1395,0.533646
1396,0.598021
1397,0.687967
1398,0.636386
1399,0.726097
1400,0.7899
1401,0.879779
1402,0.828209
1403,0.917952
1404,0.98222
1405,0.174642
1406,0.328406
1407,0.418281
1408,0.367102
1409,0.457029
1410,0.520973
1411,0.61057
1412,0.559151
1413,0.649041
1414,0.713326
1415,0.803071
1416,0.751869
1417,0.841726
1418,0.905609
1419,0.995282
1420,0.943475
1421,0.482634
1422,0.57236
1423,0.636386
1424,0.726097
1425,0.674431
1426,0.764073
1427,0.828209
1428,0.917952
1429,0.867309
1430,0.956995
1431,0.751869
1432,0.841726
1433,0.7899
1434,0.879779
1435,0.943475
1436,0.98222
1437,0.905609
1438,0.995282
1439,0.024034
1440,0.142915
1441,8e-05
1442,0.071554
1443,0.166912
1444,0.285745
1445,0.238173
1446,0.357276
1447,0.571567
1448,0.024138
1449,0.142941
1450,0.095435
1451,0.214195
1452,0.309543
1453,0.428386
1454,0.381389
1455,0.500157
1456,0.595456
1457,0.714232
1458,0.07151
1459,0.166985
1460,0.285738
1461,0.238237
1462,0.357202
1463,0.452432
1464,0.571484
1465,0.523883
1466,0.642618
1467,0.738253
1468,0.857302
1469,0.809468
1470,0.928314
1471,0.023846
1472,0.142633
1473,0.095423
1474,0.214173
1475,0.309597
1476,0.428428
1477,0.381364
1478,0.500219
1479,0.595436
1480,0.714282
1481,0.666838
1482,0.785641
1483,0.881148
1484,0.952454
1485,0.000208
1486,0.071402
1487,0.16674
1488,0.285609
1489,0.23806
1490,0.357098
1491,0.452379
1492,0.571513
1493,0.523821
1494,0.642662
1495,0.738181
1496,0.857287
1497,0.809504
1498,0.928405
1499,0.095501
1500,0.214318
1501,0.309666
1502,0.428564
1503,0.381225
1504,0.500083
1505,0.595309
1506,0.714097
1507,0.666839
1508,0.78558
1509,0.881108
1510,0.952532
1511,0.452577
1512,0.523979
1513,0.642735
1514,0.738231
1515,0.857233
1516,0.809231
1517,0.928064
1518,0.667039
1519,0.785773
1520,0.881269
1521,0.952338
1522,0.012183
1523,0.082137
1524,0.029564
1525,0.091118
1526,0.161188
1527,0.143776
1528,0.213844
1529,0.275363
1530,0.345402
1531,0.055923
1532,0.038589
1533,0.10855
1534,0.170132
1535,0.240251
1536,0.222639
1537,0.29268
1538,0.354242
1539,0.424311
1540,0.476958
1541,0.608402
1542,0.003177
1543,0.064864
1544,0.134907
1545,0.117484
1546,0.187629
1547,0.249061
1548,0.319077
1549,0.301626
1550,0.3717
1551,0.433185
1552,0.503174
1553,0.485906
1554,0.555836
1555,0.617314
1556,0.687264
1557,0.029564
1558,0.012183
1559,0.082137
1560,0.143776
1561,0.213844
1562,0.196513
1563,0.266553
1564,0.327906
1565,0.397992
1566,0.380653
1567,0.450712
1568,0.512226
1569,0.582072
1570,0.564794
1571,0.634669
1572,0.696173
1573,0.766325
1574,0.748869
1575,0.819016
1576,0.880651
1577,0.950692
1578,0.038589
1579,0.10855
1580,0.091118
1581,0.161188
1582,0.222639
1583,0.29268
1584,0.275363
1585,0.345402
1586,0.406889
1587,0.476958
1588,0.459552
1589,0.529477
1590,0.591079
1591,0.661147
1592,0.643609
1593,0.713789
1594,0.775284
1595,0.845431
1596,0.827952
1597,0.898131
1598,0.959667
1599,0.003177
1600,0.055923
1601,0.117484
1602,0.187629
1603,0.170132
1604,0.240251
1605,0.301626
1606,0.3717
1607,0.354242
1608,0.424311
1609,0.485906
1610,0.555836
1611,0.538427
1612,0.608402
1613,0.670025
1614,0.740011
1615,0.722651
1616,0.792773
1617,0.85432
1618,0.924286
1619,0.907104
1620,0.976949
1621,0.064864
1622,0.134907
1623,0.196513
1624,0.266553
1625,0.249061
1626,0.319077
1627,0.380653
1628,0.450712
1629,0.433185
1630,0.503174
1631,0.564794
1632,0.634669
1633,0.617314
1634,0.687264
1635,0.748869
1636,0.819016
1637,0.80165
1638,0.871761
1639,0.933204
1640,0.985901
1641,0.327906
1642,0.397992
1643,0.459552
1644,0.529477
1645,0.512226
1646,0.582072
1647,0.643609
1648,0.713789
1649,0.696173
1650,0.766325
1651,0.827952
1652,0.898131
1653,0.880651
1654,0.950692
1655,0.406889
1656,0.538427
1657,0.591079
1658,0.661147
1659,0.722651
1660,0.792773
1661,0.775284
1662,0.845431
1663,0.907104
1664,0.976949
1665,0.959667
1666,0.670025
1667,0.740011
1668,0.80165
1669,0.871761
1670,0.85432
1671,0.924286
1672,0.985901
1673,0.933204
1674,0.004662
1675,0.035794
1676,0.008271
1677,0.037607
1678,0.068711
1679,0.065104
1680,0.096226
1681,0.125474
1682,0.156558
1683,0.013842
1684,0.010017
1685,0.041165
1686,0.070493
1687,0.101638
1688,0.098053
1689,0.129192
1690,0.158431
1691,0.189611
1692,0.185789
1693,0.216975
1694,0.246237
1695,0.277408
1696,0.015618
1697,0.046805
1698,0.043019
1699,0.074169
1700,0.10346
1701,0.134672
1702,0.130971
1703,0.162127
1704,0.191346
1705,0.222498
1706,0.218828
1707,0.249981
1708,0.279252
1709,0.310348
1710,0.337777
1711,0.398307
1712,0.019254
1713,0.048583
1714,0.079746
1715,0.07602
1716,0.107224
1717,0.136554
1718,0.16768
1719,0.163975
1720,0.195129
1721,0.224333
1722,0.255483
1723,0.251783
1724,0.282943
1725,0.31218
1726,0.343363
1727,0.339614
1728,0.370835
1729,0.400125
1730,0.43124
1731,0.458781
1732,0.519254
1733,0.024702
1734,0.021
1735,0.052239
1736,0.081519
1737,0.112671
1738,0.109007
1739,0.140206
1740,0.169545
1741,0.20066
1742,0.196968
1743,0.228125
1744,0.257374
1745,0.288546
1746,0.284823
1747,0.316006
1748,0.345232
1749,0.376367
1750,0.372669
1751,0.403787
1752,0.433059
1753,0.464217
1754,0.460548
1755,0.491718
1756,0.521
1757,0.552239
1758,0.579746
1759,0.02651
1760,0.05765
1761,0.054003
1762,0.085156
1763,0.114435
1764,0.145589
1765,0.141999
1766,0.173129
1767,0.202442
1768,0.233649
1769,0.229976
1770,0.261163
1771,0.290437
1772,0.32157
1773,0.317874
1774,0.349018
1775,0.378221
1776,0.409386
1777,0.405683
1778,0.436792
1779,0.466067
1780,0.497309
1781,0.493503
1782,0.524702
1783,0.554003
1784,0.585156
1785,0.581519
1786,0.612671
1787,0.641999
1788,0.673129
1789,0.002881
1790,0.030296
1791,0.05946
1792,0.090601
1793,0.086963
1794,0.118097
1795,0.147378
1796,0.178564
1797,0.17491
1798,0.206081
1799,0.235448
1800,0.26659
1801,0.262965
1802,0.29405
1803,0.323336
1804,0.354519
1805,0.350876
1806,0.382018
1807,0.411237
1808,0.442408
1809,0.438716
1810,0.469918
1811,0.499174
1812,0.530296
1813,0.52651
1814,0.55765
1815,0.586963
1816,0.618097
1817,0.614435
1818,0.645589
1819,0.67491
1820,0.706081
1821,0.702442
1822,0.733649
1823,0.762965
1824,0.79405
1825,0.03216
1826,0.063295
1827,0.09247
1828,0.123607
1829,0.119933
1830,0.151091
1831,0.180298
1832,0.211439
1833,0.207875
1834,0.239041
1835,0.268389
1836,0.299541
1837,0.295886
1838,0.327079
1839,0.356341
1840,0.387539
1841,0.383765
1842,0.414951
1843,0.444203
1844,0.475332
1845,0.47174
1846,0.502881
1847,0.532161
1848,0.563295
1849,0.55946
1850,0.590601
1851,0.619933
1852,0.651091
1853,0.647379
1854,0.678564
1855,0.707875
1856,0.739041
1857,0.735448
1858,0.76659
1859,0.795886
1860,0.827079
1861,0.823336
1862,0.854519
1863,0.883765
1864,0.914951
1865,0.152901
1866,0.183994
1867,0.213228
1868,0.244421
1869,0.240769
1870,0.271945
