,Calculated atomic coordinates u'
177,0.434731
178,0.48176
179,0.18762
180,0.194081
181,0.216119
182,0.198483
183,0.565293
184,0.518261
185,0.690505
186,0.653282
187,0.784977
188,0.80108
189,0.70063
190,0.733703
191,0.309563
192,0.347059
193,0.220388
194,0.243066
195,0.298531
196,0.265631
197,0.424498
198,0.38078
199,0.779608
200,0.756305
201,0.812277
202,0.807185
203,0.575221
204,0.619361
205,0.434732
206,0.48176
207,0.18762
208,0.194081
209,0.216119
210,0.198483
211,0.565293
212,0.518261
213,0.690505
214,0.653282
215,0.784977
216,0.80108
217,0.70063
218,0.733703
219,0.309563
220,0.347059
221,0.220388
222,0.243066
223,0.298531
224,0.265631
225,0.424498
226,0.38078
227,0.779609
228,0.756305
229,0.575221
230,0.619361
231,0.434732
232,0.48176
233,0.18762
234,0.194081
235,0.216119
236,0.784977
237,0.80108
238,0.700631
239,0.309563
240,0.831432
241,0.818275
242,0.225916
243,0.55049
244,0.687882
245,0.62163
246,0.830527
247,0.168569
248,0.181726
249,0.33573
250,0.276086
251,0.40435
252,0.33552
253,0.745029
254,0.688191
255,0.788083
256,0.74462
257,0.774084
258,0.44951
259,0.312118
260,0.37837
261,0.172342
262,0.169473
263,0.191546
264,0.172162
265,0.476946
266,0.403295
267,0.551101
268,0.476291
269,0.818306
270,0.787695
271,0.66427
272,0.723914
273,0.59565
274,0.66448
275,0.254971
276,0.311808
277,0.211917
278,0.25538
279,0.226492
280,0.191633
281,0.276282
282,0.621869
283,0.827658
284,0.808454
285,0.827838
286,0.523054
287,0.596704
288,0.448899
289,0.523709
290,0.181694
291,0.212305
292,0.773508
293,0.808367
294,0.723718
295,0.378131
296,0.846738
297,0.825667
298,0.595007
299,0.701387
300,0.620405
301,0.846657
302,0.831618
303,0.834872
304,0.166966
305,0.145027
306,0.392004
307,0.308327
308,0.41809
309,0.333254
310,0.722773
311,0.647165
312,0.743994
313,0.67623
314,0.843249
315,0.851805
316,0.268328
317,0.19154
318,0.244261
319,0.173905
320,0.147886
321,0.188853
322,0.157101
323,0.446991
324,0.362166
325,0.479099
326,0.393293
327,0.767902
328,0.705207
329,0.790957
330,0.731672
331,0.803688
332,0.455647
333,0.544283
334,0.424521
335,0.512985
336,0.175639
337,0.2251
338,0.166725
339,0.207823
340,0.206572
341,0.16871
342,0.22767
343,0.181227
344,0.512335
345,0.423944
346,0.544353
347,0.455717
348,0.80846
349,0.755739
350,0.824361
351,0.7749
352,0.72853
353,0.786311
354,0.703149
355,0.766225
356,0.39472
357,0.482451
358,0.366307
359,0.45518
360,0.161204
361,0.197336
362,0.156687
363,0.183915
364,0.24782
365,0.196312
366,0.27147
367,0.213689
368,0.575479
369,0.487015
370,0.605281
371,0.517549
372,0.833274
373,0.792177
374,0.838796
375,0.802664
376,0.84059
377,0.677597
378,0.746176
379,0.654284
380,0.730452
381,0.343475
382,0.430586
383,0.320556
384,0.404993
385,0.153262
386,0.174333
387,0.153343
388,0.168382
389,0.296851
390,0.233775
391,0.322403
392,0.253824
393,0.633693
394,0.54482
395,0.656525
396,0.569414
397,0.843313
398,0.816084
399,0.835695
400,0.836068
401,0.632769
402,0.711513
403,0.607996
404,0.691673
405,0.298613
406,0.379595
407,0.277227
408,0.352835
409,0.15941
410,0.165128
411,0.164304
412,0.15675
413,0.345715
414,0.269548
415,0.367231
416,0.288487
417,0.679444
418,0.833034
419,0.854973
420,0.826095
421,0.852113
422,0.58191
423,0.666747
424,0.553009
425,0.637834
426,0.256007
427,0.32377
428,0.232098
429,0.294793
430,0.163932
431,0.148195
432,0.811147
433,0.842899
434,0.793428
435,0.83129
436,0.520901
437,0.606707
438,0.487665
439,0.576057
440,0.209043
441,0.772329
442,0.818773
443,0.752181
444,0.68039
445,0.319948
446,0.483656
447,0.449358
448,0.798133
449,0.780109
450,0.839734
451,0.83339
452,0.243093
453,0.268118
454,0.185882
455,0.175837
456,0.267943
457,0.243481
458,0.61844
459,0.585685
460,0.73483
461,0.707249
462,0.842398
463,0.618792
464,0.449241
465,0.482679
466,0.176197
467,0.18672
468,0.159533
469,0.157636
470,0.383738
471,0.351176
472,0.517421
473,0.482586
474,0.811154
475,0.795806
476,0.839533
477,0.780589
478,0.797129
479,0.679193
480,0.707111
481,0.319468
482,0.349393
483,0.219964
484,0.242806
485,0.203449
486,0.187477
487,0.291865
488,0.264424
489,0.64876
490,0.616262
491,0.756907
492,0.731882
493,0.82272
494,0.83113
495,0.54947
496,0.583376
497,0.414098
498,0.448293
499,0.167525
500,0.175325
501,0.163523
502,0.157602
503,0.414614
504,0.381208
505,0.550759
506,0.517321
507,0.823803
508,0.81328
509,0.75467
510,0.778713
511,0.648797
512,0.680052
513,0.291126
514,0.31961
515,0.201867
516,0.219891
517,0.219411
518,0.202871
519,0.320806
520,0.292889
521,0.680532
522,0.650607
523,0.780036
524,0.757194
525,0.841784
526,0.814118
527,0.824163
528,0.516344
529,0.550642
530,0.38156
531,0.414315
532,0.160266
533,0.16661
534,0.17728
535,0.16887
536,0.45053
537,0.416624
538,0.585902
539,0.551707
540,0.832475
541,0.824675
542,0.732057
543,0.756519
544,0.616262
545,0.648824
546,0.26517
547,0.292751
548,0.188846
549,0.204193
550,0.24533
551,0.221287
552,0.351203
553,0.708874
554,0.840467
555,0.842364
556,0.796551
557,0.812523
558,0.482579
559,0.517414
560,0.35124
561,0.383738
562,0.158216
563,0.160467
564,0.708135
565,0.735577
566,0.836477
567,0.718752
568,0.537723
569,0.480085
570,0.80951
571,0.777756
572,0.840186
573,0.824224
574,0.175776
575,0.233582
576,0.19996
577,0.295534
578,0.251935
579,0.62016
580,0.565441
581,0.697666
582,0.646547
583,0.853659
584,0.847932
585,0.434559
586,0.302334
587,0.353453
588,0.146341
589,0.152068
590,0.154989
591,0.146049
592,0.370413
593,0.318799
594,0.45224
595,0.39672
596,0.76054
597,0.718752
598,0.80951
599,0.777756
600,0.853951
601,0.629587
602,0.681201
603,0.54776
604,0.60328
605,0.23946
606,0.281248
607,0.19049
608,0.222244
609,0.184634
610,0.164454
611,0.233582
612,0.19996
613,0.537723
614,0.480085
615,0.62016
616,0.565441
617,0.840186
618,0.824224
619,0.853659
620,0.847932
621,0.815366
622,0.835546
623,0.766418
624,0.80004
625,0.462277
626,0.519915
627,0.37984
628,0.434559
629,0.159814
630,0.175776
631,0.146341
632,0.152068
633,0.295534
634,0.251936
635,0.370413
636,0.318799
637,0.697666
638,0.646547
639,0.76054
640,0.718752
641,0.704466
642,0.748064
643,0.629587
644,0.681201
645,0.302334
646,0.353453
647,0.23946
648,0.281248
649,0.154989
650,0.146049
651,0.184633
652,0.164454
653,0.45224
654,0.39672
655,0.537723
656,0.480085
657,0.80951
658,0.777756
659,0.840186
660,0.824224
661,0.845011
662,0.853951
663,0.815366
664,0.835546
665,0.54776
666,0.60328
667,0.462277
668,0.519915
669,0.19049
670,0.222244
671,0.159814
672,0.175776
673,0.233582
674,0.19996
675,0.295534
676,0.251935
677,0.62016
678,0.565441
679,0.697666
680,0.646547
681,0.853659
682,0.847932
683,0.766418
684,0.80004
685,0.704466
686,0.748065
687,0.37984
688,0.434559
689,0.302334
690,0.353453
691,0.146341
692,0.152068
693,0.154989
694,0.146049
695,0.370413
696,0.318799
697,0.45224
698,0.39672
699,0.76054
700,0.845011
701,0.853951
702,0.629587
703,0.681201
704,0.54776
705,0.60328
706,0.23946
707,0.281248
708,0.19049
709,0.222244
710,0.184634
711,0.164454
712,0.815366
713,0.835546
714,0.766418
715,0.80004
716,0.462277
717,0.519915
718,0.37984
719,0.159814
720,0.704466
721,0.748064
722,0.845011
723,0.747443
724,0.583652
725,0.513321
726,0.819448
727,0.779151
728,0.838386
729,0.80677
730,0.235562
731,0.330625
732,0.270569
733,0.628325
734,0.561644
735,0.674467
736,0.609959
737,0.850308
738,0.83019
739,0.862314
740,0.852908
741,0.184563
742,0.23067
743,0.141327
744,0.131391
745,0.159543
746,0.142237
747,0.375958
748,0.313834
749,0.424923
750,0.358998
751,0.716745
752,0.65777
753,0.757878
754,0.703355
755,0.869237
756,0.873975
757,0.501583
758,0.386221
759,0.45589
760,0.167407
761,0.203588
762,0.152099
763,0.176994
764,0.183696
765,0.155003
766,0.212741
767,0.175198
768,0.474377
769,0.405921
770,0.52409
771,0.454037
772,0.791642
773,0.740035
774,0.815437
775,0.76933
776,0.864812
777,0.680919
778,0.739342
779,0.6405
780,0.702274
781,0.343503
782,0.408811
783,0.30012
784,0.363046
785,0.137806
786,0.154359
787,0.130547
788,0.139557
789,0.245488
790,0.200548
791,0.283362
792,0.229697
793,0.570388
794,0.498417
795,0.613778
796,0.54411
797,0.832593
798,0.796412
799,0.847901
800,0.823006
801,0.843068
802,0.857283
803,0.821657
804,0.845996
805,0.594743
806,0.659293
807,0.547799
808,0.617603
809,0.261447
810,0.321225
811,0.229501
812,0.285045
813,0.131849
814,0.133693
815,0.143703
816,0.135188
817,0.319081
818,0.260657
819,0.3595
820,0.297725
821,0.656497
822,0.591189
823,0.69988
824,0.636954
825,0.862194
826,0.845641
827,0.869453
828,0.860443
829,0.795602
830,0.830921
831,0.77026
832,0.815945
833,0.502857
834,0.57467
835,0.45964
836,0.532693
837,0.203019
838,0.252557
839,0.180552
840,0.220849
841,0.156933
842,0.142717
843,0.178343
844,0.154004
845,0.405257
846,0.340707
847,0.452201
848,0.382397
849,0.738553
850,0.678775
851,0.770499
852,0.714956
853,0.866307
854,0.871275
855,0.741142
856,0.794478
857,0.708901
858,0.764438
859,0.416348
860,0.486679
861,0.371675
862,0.438356
863,0.161614
864,0.19323
865,0.149692
866,0.16981
867,0.204398
868,0.169078
869,0.22974
870,0.184055
871,0.497143
872,0.42533
873,0.54036
874,0.467307
875,0.796981
876,0.871548
877,0.858673
878,0.868609
879,0.669375
880,0.729431
881,0.624042
882,0.686166
883,0.325533
884,0.390041
885,0.283255
886,0.34223
887,0.137686
888,0.147092
889,0.128725
890,0.130763
891,0.258858
892,0.205522
893,0.291099
894,0.840457
895,0.857763
896,0.816304
897,0.844997
898,0.575077
899,0.641002
900,0.525623
901,0.594079
902,0.242122
903,0.296645
904,0.208358
905,0.259965
906,0.128452
907,0.126025
908,0.787259
909,0.824802
910,0.754512
911,0.799452
912,0.47591
913,0.545963
914,0.429612
915,0.868151
916,0.716637
917,0.770303
918,0.856296
919,0.88206
920,0.640161
921,0.564133
922,0.839015
923,0.795191
924,0.846742
925,0.806493
926,0.300559
927,0.390384
928,0.317695
929,0.657262
930,0.582408
931,0.675489
932,0.602873
933,0.85312
934,0.819294
935,0.860408
936,0.827648
937,0.146627
938,0.177479
939,0.143811
940,0.188267
941,0.150393
942,0.408297
943,0.335426
944,0.429072
945,0.353822
946,0.694648
947,0.622512
948,0.709642
949,0.640207
950,0.866049
951,0.838736
952,0.87269
953,0.847306
954,0.242367
955,0.306104
956,0.122792
957,0.138865
958,0.119209
959,0.130798
960,0.200566
961,0.156814
962,0.213413
963,0.169523
964,0.449231
965,0.373226
966,0.468006
967,0.390561
968,0.726716
969,0.65835
970,0.741883
971,0.676949
972,0.874466
973,0.853373
974,0.877208
975,0.861135
976,0.570259
977,0.4731
978,0.552291
979,0.229197
980,0.290664
981,0.215853
982,0.27544
983,0.11639
984,0.125888
985,0.118893
986,0.1247
987,0.228853
988,0.17945
989,0.24028
990,0.188609
991,0.487319
992,0.410099
993,0.507864
994,0.429741
995,0.757633
996,0.693896
997,0.770804
998,0.709336
999,0.880792
1000,0.869202
1001,0.88361
1002,0.874112
1003,0.729478
1004,0.787362
1005,0.714249
1006,0.775696
1007,0.455382
1008,0.53493
1009,0.436167
1010,0.514272
1011,0.204319
1012,0.259231
1013,0.191349
1014,0.243466
1015,0.121994
1016,0.121158
1017,0.122359
1018,0.119039
1019,0.255544
1020,0.201164
1021,0.270523
1022,0.212638
1023,0.5269
1024,0.447709
1025,0.544618
1026,0.46507
1027,0.784146
1028,0.72456
1029,0.795681
1030,0.740769
1031,0.8753
1032,0.878842
1033,0.87008
1034,0.881602
1035,0.864446
1036,0.877899
1037,0.700511
1038,0.762734
1039,0.682197
1040,0.746411
1041,0.416591
1042,0.494418
1043,0.397575
1044,0.474988
1045,0.181019
1046,0.231402
1047,0.172572
1048,0.216978
1049,0.125181
1050,0.11794
1051,0.12992
1052,0.118397
1053,0.285752
1054,0.224304
1055,0.299489
1056,0.237266
1057,0.563833
1058,0.485728
1059,0.583409
1060,0.505582
1061,0.808652
1062,0.756534
1063,0.818982
1064,0.768598
1065,0.88096
1066,0.856357
1067,0.876077
1068,0.848825
1069,0.87264
1070,0.664107
1071,0.731998
1072,0.646705
1073,0.714742
1074,0.378941
1075,0.455259
1076,0.359839
1077,0.435867
1078,0.160985
1079,0.204809
1080,0.153259
1081,0.193507
1082,0.135553
1083,0.1221
1084,0.143643
1085,0.123923
1086,0.317803
1087,0.253589
1088,0.335893
1089,0.268002
1090,0.602425
1091,0.525012
1092,0.62106
1093,0.544741
1094,0.827428
1095,0.783022
1096,0.84151
1097,0.868501
1098,0.83095
1099,0.862453
1100,0.627976
1101,0.699441
1102,0.609616
1103,0.682305
1104,0.342738
1105,0.417592
1106,0.324511
1107,0.397127
1108,0.14688
1109,0.180706
1110,0.139592
1111,0.172352
1112,0.151175
1113,0.12736
1114,0.158491
1115,0.131499
1116,0.353295
1117,0.285258
1118,0.372023
1119,0.822521
1120,0.856188
1121,0.811733
1122,0.849607
1123,0.591704
1124,0.664573
1125,0.570928
1126,0.646178
1127,0.305352
1128,0.377488
1129,0.290358
1130,0.359793
1131,0.133951
1132,0.161264
1133,0.12731
1134,0.152694
1135,0.16905
1136,0.137547
1137,0.799434
1138,0.843186
1139,0.786588
1140,0.830477
1141,0.550769
1142,0.626774
1143,0.531994
1144,0.609438
1145,0.273284
1146,0.34165
1147,0.258117
1148,0.323051
1149,0.125534
1150,0.881107
1151,0.771147
1152,0.82055
1153,0.75972
1154,0.811391
1155,0.512681
1156,0.589901
1157,0.492136
1158,0.878005
1159,0.87764
1160,0.744456
1161,0.798836
1162,0.874819
1163,0.856622
1164,0.850307
1165,0.300112
1166,0.650396
1167,0.626523
1168,0.758197
1169,0.738304
1170,0.291138
1171,0.144453
1172,0.181816
1173,0.171924
1174,0.446284
1175,0.420553
1176,0.576229
1177,0.549692
1178,0.830911
1179,0.81932
1180,0.858824
1181,0.855156
1182,0.614929
1183,0.459329
1184,0.485137
1185,0.18774
1186,0.201514
1187,0.148543
1188,0.151387
1189,0.261147
1190,0.241432
1191,0.370033
1192,0.343994
1193,0.697498
1194,0.673183
1195,0.789697
1196,0.770878
1197,0.768476
1198,0.786809
1199,0.663335
1200,0.685386
1201,0.334479
1202,0.356995
1203,0.231197
1204,0.245857
1205,0.153524
1206,0.146441
1207,0.205308
1208,0.185772
1209,0.494223
1210,0.464697
1211,0.619326
1212,0.59262
1213,0.844937
1214,0.83442
1215,0.860516
1216,0.862761
1217,0.814181
1218,0.823512
1219,0.535602
1220,0.560318
1221,0.402438
1222,0.426818
1223,0.160623
1224,0.168364
1225,0.131959
1226,0.131289
1227,0.292877
1228,0.269581
1229,0.410525
1230,0.385071
1231,0.730184
1232,0.708862
1233,0.81226
1234,0.798486
1235,0.724936
1236,0.74298
1237,0.607443
1238,0.631099
1239,0.283807
1240,0.304369
1241,0.191389
1242,0.208412
1243,0.158861
1244,0.151677
1245,0.231524
1246,0.213191
1247,0.540671
1248,0.514862
1249,0.665521
1250,0.643005
1251,0.851457
1252,0.848614
1253,0.840724
1254,0.847147
1255,0.777063
1256,0.792638
1257,0.476673
1258,0.503294
1259,0.349604
1260,0.373477
1261,0.143378
1262,0.149693
1263,0.139484
1264,0.137239
1265,0.336665
1266,0.314613
1267,0.464398
1268,0.439682
1269,0.768803
1270,0.754143
1271,0.839376
1272,0.831636
1273,0.854879
1274,0.855547
1275,0.677961
1276,0.699888
1277,0.553716
1278,0.579447
1279,0.241803
1280,0.261696
1281,0.169089
1282,0.18068
1283,0.185819
1284,0.176488
1285,0.275064
1286,0.25702
1287,0.597562
1288,0.573182
1289,0.716193
1290,0.695632
1291,0.868711
1292,0.818184
1293,0.828076
1294,0.738853
1295,0.758568
1296,0.423771
1297,0.450308
1298,0.302502
1299,0.326817
1300,0.141176
1301,0.144844
1302,0.159276
1303,0.152852
1304,0.392557
1305,0.368901
1306,0.523327
1307,0.496706
1308,0.808611
1309,0.791588
1310,0.846476
1311,0.853559
1312,0.629967
1313,0.656007
1314,0.505777
1315,0.535303
1316,0.210303
1317,0.229122
1318,0.155063
1319,0.16558
1320,0.222936
1321,0.207362
1322,0.322039
1323,0.794692
1324,0.814228
1325,0.707123
1326,0.730419
1327,0.380674
1328,0.40738
1329,0.269816
1330,0.145121
1331,0.868041
1332,0.841139
1333,0.848323
1334,0.589475
1335,0.863592
1336,0.852888
1337,0.343848
1338,0.648616
1339,0.760188
1340,0.725637
1341,0.870485
1342,0.206223
1343,0.180794
1344,0.473899
1345,0.429026
1346,0.562921
1347,0.51729
1348,0.814806
1349,0.78824
1350,0.851165
1351,0.835862
1352,0.351384
1353,0.136408
1354,0.147112
1355,0.1283
1356,0.129515
1357,0.268548
1358,0.235427
1359,0.343905
1360,0.303804
1361,0.648116
1362,0.605046
1363,0.725052
1364,0.687126
1365,0.871107
1366,0.86525
1367,0.656152
1368,0.5261
1369,0.570974
1370,0.239812
1371,0.274363
1372,0.185194
1373,0.21176
1374,0.145655
1375,0.135252
1376,0.180993
1377,0.159996
1378,0.428507
1379,0.384106
1380,0.517039
1381,0.47128
1382,0.789476
1383,0.758268
1384,0.835902
1385,0.813482
1386,0.793777
1387,0.819206
1388,0.731452
1389,0.764573
1390,0.437079
1391,0.48271
1392,0.351883
1393,0.394954
1394,0.148835
1395,0.164138
1396,0.128893
1397,0.13475
1398,0.234599
1399,0.203798
1400,0.302778
1401,0.265614
1402,0.604715
1403,0.561196
1404,0.687586
1405,0.8717
1406,0.854345
1407,0.864748
1408,0.656095
1409,0.696196
1410,0.571493
1411,0.615894
1412,0.274948
1413,0.312874
1414,0.210525
1415,0.241732
1416,0.132058
1417,0.126876
1418,0.158391
1419,0.144895
1420,0.384535
1421,0.819007
1422,0.840004
1423,0.765402
1424,0.796202
1425,0.482961
1426,0.52872
1427,0.395285
1428,0.438804
1429,0.164098
1430,0.186518
1431,0.867942
1432,0.873124
1433,0.697222
1434,0.734386
1435,0.615465
1436,0.312415
1437,0.841609
1438,0.855105
1439,0.878514
1440,0.866697
1441,0.415274
1442,0.692383
1443,0.781715
1444,0.738864
1445,0.883057
1446,0.879306
1447,0.882826
1448,0.261883
1449,0.219421
1450,0.529197
1451,0.471431
1452,0.585128
1453,0.52846
1454,0.814912
1455,0.779195
1456,0.842342
1457,0.813682
1458,0.117309
1459,0.134274
1460,0.122402
1461,0.308878
1462,0.261717
1463,0.360479
1464,0.309356
1465,0.639588
1466,0.585126
1467,0.691102
1468,0.640339
1469,0.864281
1470,0.84348
1471,0.360071
1472,0.414826
1473,0.157073
1474,0.185463
1475,0.13528
1476,0.156153
1477,0.157312
1478,0.136152
1479,0.186562
1480,0.157616
1481,0.415086
1482,0.360616
1483,0.471618
1484,0.739749
1485,0.864495
1486,0.690848
1487,0.585056
1488,0.639514
1489,0.308605
1490,0.359636
1491,0.260095
1492,0.307304
1493,0.121637
1494,0.132952
1495,0.11672
1496,0.120604
1497,0.221224
1498,0.185553
1499,0.814016
1500,0.843247
1501,0.779653
1502,0.815245
1503,0.528334
1504,0.58459
1505,0.470684
1506,0.528626
1507,0.217592
1508,0.260486
1509,0.184182
1510,0.121054
1511,0.879533
1512,0.738282
1513,0.781167
1514,0.691423
1515,0.738401
1516,0.414661
1517,0.471105
1518,0.866312
1519,0.878229
1520,0.843516
1521,0.639191
1522,0.888331
1523,0.870236
1524,0.712502
1525,0.787137
1526,0.739235
1527,0.891779
1528,0.881578
1529,0.893543
1530,0.888497
1531,0.256899
1532,0.561462
1533,0.496121
1534,0.593456
1535,0.529478
1536,0.809246
1537,0.765492
1538,0.829406
1539,0.789015
1540,0.891643
1541,0.892854
1542,0.117643
1543,0.153487
1544,0.127993
1545,0.339169
1546,0.282381
1547,0.36937
1548,0.310862
1549,0.625811
1550,0.562306
1551,0.656573
1552,0.594199
1553,0.844239
1554,0.807897
1555,0.857552
1556,0.825986
1557,0.287498
1558,0.11167
1559,0.129764
1560,0.108221
1561,0.118422
1562,0.170117
1563,0.13924
1564,0.189195
1565,0.154531
1566,0.40147
1567,0.340192
1568,0.433326
1569,0.368725
1570,0.685117
1571,0.624646
1572,0.712875
1573,0.656323
1574,0.868501
1575,0.843386
1576,0.881059
1577,0.859667
1578,0.438538
1579,0.503879
1580,0.212863
1581,0.260765
1582,0.190754
1583,0.234508
1584,0.106457
1585,0.111503
1586,0.10865
1587,0.108357
1588,0.210752
1589,0.169332
1590,0.231485
1591,0.188383
1592,0.464332
1593,0.401086
1594,0.498163
1595,0.43398
1596,0.740367
1597,0.686016
1598,0.765162
1599,0.882357
1600,0.743101
1601,0.660831
1602,0.717619
1603,0.406544
1604,0.470522
1605,0.374189
1606,0.437694
1607,0.170594
1608,0.210985
1609,0.155762
1610,0.192103
1611,0.111883
1612,0.107146
1613,0.118393
1614,0.110158
1615,0.258662
1616,0.212876
1617,0.285201
1618,0.232654
1619,0.531004
1620,0.464602
1621,0.846513
1622,0.872007
1623,0.829883
1624,0.86076
1625,0.63063
1626,0.689138
1627,0.59853
1628,0.659808
1629,0.343427
1630,0.405801
1631,0.314883
1632,0.375354
1633,0.142448
1634,0.174014
1635,0.131499
1636,0.156614
1637,0.131453
1638,0.113457
1639,0.13961
1640,0.311309
1641,0.810805
1642,0.84547
1643,0.789248
1644,0.830668
1645,0.566674
1646,0.631275
1647,0.535668
1648,0.598914
1649,0.287125
1650,0.343677
1651,0.259632
1652,0.313985
1653,0.118941
1654,0.140334
1655,0.89135
1656,0.888118
1657,0.768515
1658,0.811617
1659,0.741338
1660,0.787124
1661,0.501837
1662,0.56602
1663,0.468996
1664,0.535397
1665,0.234838
1666,0.881607
1667,0.889842
1668,0.868547
1669,0.886543
1670,0.714799
1671,0.767346
1672,0.688691
1673,0.86039
1674,0.900112
1675,0.882146
1676,0.743998
1677,0.805518
1678,0.754817
1679,0.90053
1680,0.883993
1681,0.900754
1682,0.889895
1683,0.307943
1684,0.607389
1685,0.538775
1686,0.621072
1687,0.552191
1688,0.813303
1689,0.765655
1690,0.823358
1691,0.776789
1692,0.904107
1693,0.895172
1694,0.904416
1695,0.896863
1696,0.190118
1697,0.149777
1698,0.387062
1699,0.321329
1700,0.400184
1701,0.333745
1702,0.633938
1703,0.565973
1704,0.647564
1705,0.580353
1706,0.832311
1707,0.786637
1708,0.838021
1709,0.795244
1710,0.900091
1711,0.901461
1712,0.096808
1713,0.099435
1714,0.095474
1715,0.199704
1716,0.158606
1717,0.210044
1718,0.165695
1719,0.41344
1720,0.346744
1721,0.428328
1722,0.36155
1723,0.660126
1724,0.59359
1725,0.673378
1726,0.608192
1727,0.847273
1728,0.806338
1729,0.854682
1730,0.813864
1731,0.902073
1732,0.903192
1733,0.352833
1734,0.133207
1735,0.167489
1736,0.126033
1737,0.161492
1738,0.102345
1739,0.095167
1740,0.104017
1741,0.096178
1742,0.220071
1743,0.174674
1744,0.23161
1745,0.184472
1746,0.441923
1747,0.373875
1748,0.456098
1749,0.387102
1750,0.685851
1751,0.620391
1752,0.697475
1753,0.633131
1754,0.859156
1755,0.822602
1756,0.866793
1757,0.832511
1758,0.904526
1759,0.502536
1760,0.572349
1761,0.278039
1762,0.340347
1763,0.267026
1764,0.327329
1765,0.123071
1766,0.153364
1767,0.117445
1768,0.146424
1769,0.108401
1770,0.09684
1771,0.112817
1772,0.098932
1773,0.241371
1774,0.190734
1775,0.251014
1776,0.198489
1777,0.468949
1778,0.398875
1779,0.481899
1780,0.412959
1781,0.708884
1782,0.647167
1783,0.721961
1784,0.659653
1785,0.873967
1786,0.838508
1787,0.876929
1788,0.846636
1789,0.896834
1790,0.781255
1791,0.714788
1792,0.769952
1793,0.488956
1794,0.559095
1795,0.475265
1796,0.544925
1797,0.255511
1798,0.315115
1799,0.244484
1800,0.30275
1801,0.115983
1802,0.142631
1803,0.110418
1804,0.133304
1805,0.116225
1806,0.098353
1807,0.119943
1808,0.100974
1809,0.260165
1810,0.208388
1811,0.273055
1812,0.218745
1813,0.497464
1814,0.427651
1815,0.511044
1816,0.440905
1817,0.732974
1818,0.672671
1819,0.744489
1820,0.684885
1821,0.882555
1822,0.853576
1823,0.884017
1824,0.857369
1825,0.868897
1826,0.891186
1827,0.860593
1828,0.886094
1829,0.70276
1830,0.760656
1831,0.691049
1832,0.74903
1833,0.460793
1834,0.531204
1835,0.447752
1836,0.518456
1837,0.234373
1838,0.291007
1839,0.22286
1840,0.27803
1841,0.103992
1842,0.126067
1843,0.101976
1844,0.123181
1845,0.124562
1846,0.103166
1847,0.131103
1848,0.108814
1849,0.285212
1850,0.230048
1851,0.29724
1852,0.239344
1853,0.524735
1854,0.455075
1855,0.539207
1856,0.468796
1857,0.755516
1858,0.69725
1859,0.765627
1860,0.708993
1861,0.889582
1862,0.866696
1863,0.896008
1864,0.873933
1865,0.855412
1866,0.883143
1867,0.848525
1868,0.878845
1869,0.678412
1870,0.739324
