,0,1,2,3,4
67,1000,1.5,0.3048,71.3,0.00336729
68,1250,1.5,0.3048,71.3,0.00336729
69,1600,1.5,0.3048,71.3,0.00336729
70,2000,1.5,0.3048,71.3,0.00336729
71,2500,1.5,0.3048,71.3,0.00336729
72,3150,1.5,0.3048,71.3,0.00336729
73,4000,1.5,0.3048,71.3,0.00336729
74,5000,1.5,0.3048,71.3,0.00336729
75,6300,1.5,0.3048,71.3,0.00336729
76,8000,1.5,0.3048,71.3,0.00336729
77,10000,1.5,0.3048,71.3,0.00336729
78,12500,1.5,0.3048,71.3,0.00336729
79,16000,1.5,0.3048,71.3,0.00336729
80,315,1.5,0.3048,39.6,0.00392107
81,400,1.5,0.3048,39.6,0.00392107
82,500,1.5,0.3048,39.6,0.00392107
83,630,1.5,0.3048,39.6,0.00392107
84,800,1.5,0.3048,39.6,0.00392107
85,1000,1.5,0.3048,39.6,0.00392107
86,1250,1.5,0.3048,39.6,0.00392107
87,1600,1.5,0.3048,39.6,0.00392107
88,2000,1.5,0.3048,39.6,0.00392107
89,2500,1.5,0.3048,39.6,0.00392107
90,3150,1.5,0.3048,39.6,0.00392107
91,4000,1.5,0.3048,39.6,0.00392107
92,5000,1.5,0.3048,39.6,0.00392107
93,6300,1.5,0.3048,39.6,0.00392107
94,8000,1.5,0.3048,39.6,0.00392107
95,10000,1.5,0.3048,39.6,0.00392107
96,12500,1.5,0.3048,39.6,0.00392107
97,400,3.0,0.3048,71.3,0.00425727
98,500,3.0,0.3048,71.3,0.00425727
99,630,3.0,0.3048,71.3,0.00425727
100,800,3.0,0.3048,71.3,0.00425727
101,1000,3.0,0.3048,71.3,0.00425727
102,1250,3.0,0.3048,71.3,0.00425727
103,1600,3.0,0.3048,71.3,0.00425727
104,2000,3.0,0.3048,71.3,0.00425727
105,2500,3.0,0.3048,71.3,0.00425727
106,3150,3.0,0.3048,71.3,0.00425727
107,4000,3.0,0.3048,71.3,0.00425727
108,5000,3.0,0.3048,71.3,0.00425727
109,6300,3.0,0.3048,71.3,0.00425727
110,8000,3.0,0.3048,71.3,0.00425727
111,10000,3.0,0.3048,71.3,0.00425727
112,400,3.0,0.3048,55.5,0.00452492
113,500,3.0,0.3048,55.5,0.00452492
114,630,3.0,0.3048,55.5,0.00452492
115,800,3.0,0.3048,55.5,0.00452492
116,1000,3.0,0.3048,55.5,0.00452492
117,1250,3.0,0.3048,55.5,0.00452492
118,1600,3.0,0.3048,55.5,0.00452492
119,2000,3.0,0.3048,55.5,0.00452492
120,2500,3.0,0.3048,55.5,0.00452492
121,3150,3.0,0.3048,55.5,0.00452492
122,4000,3.0,0.3048,55.5,0.00452492
123,5000,3.0,0.3048,55.5,0.00452492
124,6300,3.0,0.3048,55.5,0.00452492
125,8000,3.0,0.3048,55.5,0.00452492
126,10000,3.0,0.3048,55.5,0.00452492
127,315,3.0,0.3048,39.6,0.00495741
128,400,3.0,0.3048,39.6,0.00495741
129,500,3.0,0.3048,39.6,0.00495741
130,630,3.0,0.3048,39.6,0.00495741
131,800,3.0,0.3048,39.6,0.00495741
132,1000,3.0,0.3048,39.6,0.00495741
133,1250,3.0,0.3048,39.6,0.00495741
134,1600,3.0,0.3048,39.6,0.00495741
135,2000,3.0,0.3048,39.6,0.00495741
136,2500,3.0,0.3048,39.6,0.00495741
137,3150,3.0,0.3048,39.6,0.00495741
138,4000,3.0,0.3048,39.6,0.00495741
139,5000,3.0,0.3048,39.6,0.00495741
140,6300,3.0,0.3048,39.6,0.00495741
141,8000,3.0,0.3048,39.6,0.00495741
142,315,3.0,0.3048,31.7,0.00529514
143,400,3.0,0.3048,31.7,0.00529514
144,500,3.0,0.3048,31.7,0.00529514
145,630,3.0,0.3048,31.7,0.00529514
146,800,3.0,0.3048,31.7,0.00529514
147,1000,3.0,0.3048,31.7,0.00529514
148,1250,3.0,0.3048,31.7,0.00529514
149,1600,3.0,0.3048,31.7,0.00529514
150,2000,3.0,0.3048,31.7,0.00529514
151,2500,3.0,0.3048,31.7,0.00529514
152,3150,3.0,0.3048,31.7,0.00529514
153,4000,3.0,0.3048,31.7,0.00529514
154,5000,3.0,0.3048,31.7,0.00529514
155,6300,3.0,0.3048,31.7,0.00529514
156,250,4.0,0.3048,71.3,0.00497773
157,315,4.0,0.3048,71.3,0.00497773
158,400,4.0,0.3048,71.3,0.00497773
159,500,4.0,0.3048,71.3,0.00497773
160,630,4.0,0.3048,71.3,0.00497773
161,800,4.0,0.3048,71.3,0.00497773
162,1000,4.0,0.3048,71.3,0.00497773
163,1250,4.0,0.3048,71.3,0.00497773
164,1600,4.0,0.3048,71.3,0.00497773
165,2000,4.0,0.3048,71.3,0.00497773
166,2500,4.0,0.3048,71.3,0.00497773
167,3150,4.0,0.3048,71.3,0.00497773
168,4000,4.0,0.3048,71.3,0.00497773
169,5000,4.0,0.3048,71.3,0.00497773
170,6300,4.0,0.3048,71.3,0.00497773
171,8000,4.0,0.3048,71.3,0.00497773
172,10000,4.0,0.3048,71.3,0.00497773
173,12500,4.0,0.3048,71.3,0.00497773
174,250,4.0,0.3048,39.6,0.00579636
175,315,4.0,0.3048,39.6,0.00579636
176,400,4.0,0.3048,39.6,0.00579636
177,500,4.0,0.3048,39.6,0.00579636
178,630,4.0,0.3048,39.6,0.00579636
179,800,4.0,0.3048,39.6,0.00579636
180,1000,4.0,0.3048,39.6,0.00579636
181,1250,4.0,0.3048,39.6,0.00579636
182,1600,4.0,0.3048,39.6,0.00579636
183,2000,4.0,0.3048,39.6,0.00579636
184,2500,4.0,0.3048,39.6,0.00579636
185,3150,4.0,0.3048,39.6,0.00579636
186,4000,4.0,0.3048,39.6,0.00579636
187,5000,4.0,0.3048,39.6,0.00579636
188,1250,0.0,0.2286,71.3,0.00214345
189,1600,0.0,0.2286,71.3,0.00214345
190,2000,0.0,0.2286,71.3,0.00214345
191,2500,0.0,0.2286,71.3,0.00214345
192,3150,0.0,0.2286,71.3,0.00214345
193,4000,0.0,0.2286,71.3,0.00214345
194,5000,0.0,0.2286,71.3,0.00214345
195,6300,0.0,0.2286,71.3,0.00214345
196,8000,0.0,0.2286,71.3,0.00214345
197,10000,0.0,0.2286,71.3,0.00214345
198,12500,0.0,0.2286,71.3,0.00214345
199,16000,0.0,0.2286,71.3,0.00214345
200,20000,0.0,0.2286,71.3,0.00214345
201,315,0.0,0.2286,55.5,0.00229336
202,400,0.0,0.2286,55.5,0.00229336
203,500,0.0,0.2286,55.5,0.00229336
204,630,0.0,0.2286,55.5,0.00229336
205,800,0.0,0.2286,55.5,0.00229336
206,1000,0.0,0.2286,55.5,0.00229336
207,1250,0.0,0.2286,55.5,0.00229336
208,1600,0.0,0.2286,55.5,0.00229336
209,2000,0.0,0.2286,55.5,0.00229336
210,2500,0.0,0.2286,55.5,0.00229336
211,3150,0.0,0.2286,55.5,0.00229336
212,4000,0.0,0.2286,55.5,0.00229336
213,5000,0.0,0.2286,55.5,0.00229336
214,6300,0.0,0.2286,55.5,0.00229336
215,315,0.0,0.2286,39.6,0.00253511
216,400,0.0,0.2286,39.6,0.00253511
217,500,0.0,0.2286,39.6,0.00253511
218,630,0.0,0.2286,39.6,0.00253511
219,800,0.0,0.2286,39.6,0.00253511
220,1000,0.0,0.2286,39.6,0.00253511
221,1250,0.0,0.2286,39.6,0.00253511
222,1600,0.0,0.2286,39.6,0.00253511
223,2000,0.0,0.2286,39.6,0.00253511
224,2500,0.0,0.2286,39.6,0.00253511
225,3150,0.0,0.2286,39.6,0.00253511
226,4000,0.0,0.2286,39.6,0.00253511
227,5000,0.0,0.2286,39.6,0.00253511
228,6300,0.0,0.2286,39.6,0.00253511
229,315,0.0,0.2286,31.7,0.0027238
230,400,0.0,0.2286,31.7,0.0027238
231,500,0.0,0.2286,31.7,0.0027238
232,630,0.0,0.2286,31.7,0.0027238
233,800,0.0,0.2286,31.7,0.0027238
234,1000,0.0,0.2286,31.7,0.0027238
235,1250,0.0,0.2286,31.7,0.0027238
236,1600,0.0,0.2286,31.7,0.0027238
237,2000,0.0,0.2286,31.7,0.0027238
238,2500,0.0,0.2286,31.7,0.0027238
239,3150,0.0,0.2286,31.7,0.0027238
240,4000,0.0,0.2286,31.7,0.0027238
241,5000,0.0,0.2286,31.7,0.0027238
242,6300,0.0,0.2286,31.7,0.0027238
243,400,2.0,0.2286,71.3,0.00293031
244,500,2.0,0.2286,71.3,0.00293031
245,630,2.0,0.2286,71.3,0.00293031
246,800,2.0,0.2286,71.3,0.00293031
247,1000,2.0,0.2286,71.3,0.00293031
248,1250,2.0,0.2286,71.3,0.00293031
249,1600,2.0,0.2286,71.3,0.00293031
250,2000,2.0,0.2286,71.3,0.00293031
251,2500,2.0,0.2286,71.3,0.00293031
252,3150,2.0,0.2286,71.3,0.00293031
253,4000,2.0,0.2286,71.3,0.00293031
254,5000,2.0,0.2286,71.3,0.00293031
255,6300,2.0,0.2286,71.3,0.00293031
256,8000,2.0,0.2286,71.3,0.00293031
257,10000,2.0,0.2286,71.3,0.00293031
258,400,2.0,0.2286,55.5,0.00313525
259,500,2.0,0.2286,55.5,0.00313525
260,630,2.0,0.2286,55.5,0.00313525
261,800,2.0,0.2286,55.5,0.00313525
262,1000,2.0,0.2286,55.5,0.00313525
263,1250,2.0,0.2286,55.5,0.00313525
264,1600,2.0,0.2286,55.5,0.00313525
265,2000,2.0,0.2286,55.5,0.00313525
266,2500,2.0,0.2286,55.5,0.00313525
267,3150,2.0,0.2286,55.5,0.00313525
268,4000,2.0,0.2286,55.5,0.00313525
269,5000,2.0,0.2286,55.5,0.00313525
270,6300,2.0,0.2286,55.5,0.00313525
271,315,2.0,0.2286,39.6,0.00346574
272,400,2.0,0.2286,39.6,0.00346574
273,500,2.0,0.2286,39.6,0.00346574
274,630,2.0,0.2286,39.6,0.00346574
275,800,2.0,0.2286,39.6,0.00346574
276,1000,2.0,0.2286,39.6,0.00346574
277,1250,2.0,0.2286,39.6,0.00346574
278,1600,2.0,0.2286,39.6,0.00346574
279,2000,2.0,0.2286,39.6,0.00346574
280,2500,2.0,0.2286,39.6,0.00346574
281,3150,2.0,0.2286,39.6,0.00346574
282,4000,2.0,0.2286,39.6,0.00346574
283,5000,2.0,0.2286,39.6,0.00346574
284,6300,2.0,0.2286,39.6,0.00346574
285,315,2.0,0.2286,31.7,0.00372371
286,400,2.0,0.2286,31.7,0.00372371
287,500,2.0,0.2286,31.7,0.00372371
288,630,2.0,0.2286,31.7,0.00372371
289,800,2.0,0.2286,31.7,0.00372371
290,1000,2.0,0.2286,31.7,0.00372371
291,1250,2.0,0.2286,31.7,0.00372371
292,1600,2.0,0.2286,31.7,0.00372371
293,2000,2.0,0.2286,31.7,0.00372371
294,2500,2.0,0.2286,31.7,0.00372371
295,3150,2.0,0.2286,31.7,0.00372371
296,4000,2.0,0.2286,31.7,0.00372371
297,5000,2.0,0.2286,31.7,0.00372371
298,6300,2.0,0.2286,31.7,0.00372371
299,500,4.0,0.2286,71.3,0.00400603
300,630,4.0,0.2286,71.3,0.00400603
301,800,4.0,0.2286,71.3,0.00400603
302,1000,4.0,0.2286,71.3,0.00400603
303,1250,4.0,0.2286,71.3,0.00400603
304,1600,4.0,0.2286,71.3,0.00400603
305,2000,4.0,0.2286,71.3,0.00400603
306,2500,4.0,0.2286,71.3,0.00400603
307,3150,4.0,0.2286,71.3,0.00400603
308,4000,4.0,0.2286,71.3,0.00400603
309,5000,4.0,0.2286,71.3,0.00400603
310,6300,4.0,0.2286,71.3,0.00400603
311,8000,4.0,0.2286,71.3,0.00400603
312,10000,4.0,0.2286,71.3,0.00400603
313,12500,4.0,0.2286,71.3,0.00400603
314,16000,4.0,0.2286,71.3,0.00400603
315,20000,4.0,0.2286,71.3,0.00400603
316,400,4.0,0.2286,55.5,0.0042862
317,500,4.0,0.2286,55.5,0.0042862
318,630,4.0,0.2286,55.5,0.0042862
319,800,4.0,0.2286,55.5,0.0042862
320,1000,4.0,0.2286,55.5,0.0042862
321,1250,4.0,0.2286,55.5,0.0042862
322,1600,4.0,0.2286,55.5,0.0042862
323,2000,4.0,0.2286,55.5,0.0042862
324,2500,4.0,0.2286,55.5,0.0042862
325,3150,4.0,0.2286,55.5,0.0042862
326,4000,4.0,0.2286,55.5,0.0042862
327,5000,4.0,0.2286,55.5,0.0042862
328,6300,4.0,0.2286,55.5,0.0042862
329,8000,4.0,0.2286,55.5,0.0042862
330,315,4.0,0.2286,39.6,0.00473801
331,400,4.0,0.2286,39.6,0.00473801
332,500,4.0,0.2286,39.6,0.00473801
333,630,4.0,0.2286,39.6,0.00473801
334,800,4.0,0.2286,39.6,0.00473801
335,1000,4.0,0.2286,39.6,0.00473801
336,1250,4.0,0.2286,39.6,0.00473801
337,1600,4.0,0.2286,39.6,0.00473801
338,2000,4.0,0.2286,39.6,0.00473801
339,2500,4.0,0.2286,39.6,0.00473801
340,3150,4.0,0.2286,39.6,0.00473801
341,4000,4.0,0.2286,39.6,0.00473801
342,5000,4.0,0.2286,39.6,0.00473801
343,6300,4.0,0.2286,39.6,0.00473801
344,8000,4.0,0.2286,39.6,0.00473801
345,250,4.0,0.2286,31.7,0.00509068
346,315,4.0,0.2286,31.7,0.00509068
347,400,4.0,0.2286,31.7,0.00509068
348,500,4.0,0.2286,31.7,0.00509068
349,630,4.0,0.2286,31.7,0.00509068
350,800,4.0,0.2286,31.7,0.00509068
351,1000,4.0,0.2286,31.7,0.00509068
352,1250,4.0,0.2286,31.7,0.00509068
353,1600,4.0,0.2286,31.7,0.00509068
354,2000,4.0,0.2286,31.7,0.00509068
355,2500,4.0,0.2286,31.7,0.00509068
356,3150,4.0,0.2286,31.7,0.00509068
357,4000,4.0,0.2286,31.7,0.00509068
358,5000,4.0,0.2286,31.7,0.00509068
359,6300,4.0,0.2286,31.7,0.00509068
360,400,5.3,0.2286,71.3,0.0051942
361,500,5.3,0.2286,71.3,0.0051942
362,630,5.3,0.2286,71.3,0.0051942
363,800,5.3,0.2286,71.3,0.0051942
364,1000,5.3,0.2286,71.3,0.0051942
365,1250,5.3,0.2286,71.3,0.0051942
366,1600,5.3,0.2286,71.3,0.0051942
367,2000,5.3,0.2286,71.3,0.0051942
368,2500,5.3,0.2286,71.3,0.0051942
369,3150,5.3,0.2286,71.3,0.0051942
370,4000,5.3,0.2286,71.3,0.0051942
371,5000,5.3,0.2286,71.3,0.0051942
372,6300,5.3,0.2286,71.3,0.0051942
373,8000,5.3,0.2286,71.3,0.0051942
374,10000,5.3,0.2286,71.3,0.0051942
375,250,5.3,0.2286,39.6,0.00614329
376,315,5.3,0.2286,39.6,0.00614329
377,400,5.3,0.2286,39.6,0.00614329
378,500,5.3,0.2286,39.6,0.00614329
379,630,5.3,0.2286,39.6,0.00614329
380,800,5.3,0.2286,39.6,0.00614329
381,1000,5.3,0.2286,39.6,0.00614329
382,1250,5.3,0.2286,39.6,0.00614329
383,1600,5.3,0.2286,39.6,0.00614329
384,2000,5.3,0.2286,39.6,0.00614329
385,2500,5.3,0.2286,39.6,0.00614329
386,3150,5.3,0.2286,39.6,0.00614329
387,4000,5.3,0.2286,39.6,0.00614329
388,5000,5.3,0.2286,39.6,0.00614329
389,6300,5.3,0.2286,39.6,0.00614329
390,200,7.3,0.2286,71.3,0.0104404
391,250,7.3,0.2286,71.3,0.0104404
392,315,7.3,0.2286,71.3,0.0104404
393,400,7.3,0.2286,71.3,0.0104404
394,500,7.3,0.2286,71.3,0.0104404
395,630,7.3,0.2286,71.3,0.0104404
396,800,7.3,0.2286,71.3,0.0104404
397,1000,7.3,0.2286,71.3,0.0104404
398,1250,7.3,0.2286,71.3,0.0104404
399,1600,7.3,0.2286,71.3,0.0104404
400,2000,7.3,0.2286,71.3,0.0104404
401,2500,7.3,0.2286,71.3,0.0104404
402,3150,7.3,0.2286,71.3,0.0104404
403,4000,7.3,0.2286,71.3,0.0104404
404,5000,7.3,0.2286,71.3,0.0104404
405,6300,7.3,0.2286,71.3,0.0104404
406,200,7.3,0.2286,55.5,0.0111706
407,250,7.3,0.2286,55.5,0.0111706
408,315,7.3,0.2286,55.5,0.0111706
409,400,7.3,0.2286,55.5,0.0111706
410,500,7.3,0.2286,55.5,0.0111706
411,630,7.3,0.2286,55.5,0.0111706
412,800,7.3,0.2286,55.5,0.0111706
413,1000,7.3,0.2286,55.5,0.0111706
414,1250,7.3,0.2286,55.5,0.0111706
415,1600,7.3,0.2286,55.5,0.0111706
416,2000,7.3,0.2286,55.5,0.0111706
417,2500,7.3,0.2286,55.5,0.0111706
418,3150,7.3,0.2286,55.5,0.0111706
419,4000,7.3,0.2286,55.5,0.0111706
420,5000,7.3,0.2286,55.5,0.0111706
421,6300,7.3,0.2286,55.5,0.0111706
422,200,7.3,0.2286,39.6,0.0123481
423,250,7.3,0.2286,39.6,0.0123481
424,315,7.3,0.2286,39.6,0.0123481
425,400,7.3,0.2286,39.6,0.0123481
426,500,7.3,0.2286,39.6,0.0123481
427,630,7.3,0.2286,39.6,0.0123481
428,800,7.3,0.2286,39.6,0.0123481
429,1000,7.3,0.2286,39.6,0.0123481
430,1250,7.3,0.2286,39.6,0.0123481
431,1600,7.3,0.2286,39.6,0.0123481
432,2000,7.3,0.2286,39.6,0.0123481
433,2500,7.3,0.2286,39.6,0.0123481
434,3150,7.3,0.2286,39.6,0.0123481
435,4000,7.3,0.2286,39.6,0.0123481
436,5000,7.3,0.2286,39.6,0.0123481
437,6300,7.3,0.2286,39.6,0.0123481
438,200,7.3,0.2286,31.7,0.0132672
439,250,7.3,0.2286,31.7,0.0132672
440,315,7.3,0.2286,31.7,0.0132672
441,400,7.3,0.2286,31.7,0.0132672
442,500,7.3,0.2286,31.7,0.0132672
443,630,7.3,0.2286,31.7,0.0132672
444,800,7.3,0.2286,31.7,0.0132672
445,1000,7.3,0.2286,31.7,0.0132672
446,1250,7.3,0.2286,31.7,0.0132672
447,1600,7.3,0.2286,31.7,0.0132672
448,2000,7.3,0.2286,31.7,0.0132672
449,2500,7.3,0.2286,31.7,0.0132672
450,3150,7.3,0.2286,31.7,0.0132672
451,4000,7.3,0.2286,31.7,0.0132672
452,5000,7.3,0.2286,31.7,0.0132672
453,6300,7.3,0.2286,31.7,0.0132672
454,800,0.0,0.1524,71.3,0.0015988
455,1000,0.0,0.1524,71.3,0.0015988
456,1250,0.0,0.1524,71.3,0.0015988
457,1600,0.0,0.1524,71.3,0.0015988
458,2000,0.0,0.1524,71.3,0.0015988
459,2500,0.0,0.1524,71.3,0.0015988
460,3150,0.0,0.1524,71.3,0.0015988
461,4000,0.0,0.1524,71.3,0.0015988
462,5000,0.0,0.1524,71.3,0.0015988
463,6300,0.0,0.1524,71.3,0.0015988
464,8000,0.0,0.1524,71.3,0.0015988
465,10000,0.0,0.1524,71.3,0.0015988
466,12500,0.0,0.1524,71.3,0.0015988
467,16000,0.0,0.1524,71.3,0.0015988
468,500,0.0,0.1524,55.5,0.00172668
469,630,0.0,0.1524,55.5,0.00172668
470,800,0.0,0.1524,55.5,0.00172668
471,1000,0.0,0.1524,55.5,0.00172668
472,1250,0.0,0.1524,55.5,0.00172668
473,1600,0.0,0.1524,55.5,0.00172668
474,2000,0.0,0.1524,55.5,0.00172668
475,2500,0.0,0.1524,55.5,0.00172668
476,3150,0.0,0.1524,55.5,0.00172668
477,4000,0.0,0.1524,55.5,0.00172668
478,5000,0.0,0.1524,55.5,0.00172668
479,6300,0.0,0.1524,55.5,0.00172668
480,8000,0.0,0.1524,55.5,0.00172668
481,10000,0.0,0.1524,55.5,0.00172668
482,12500,0.0,0.1524,55.5,0.00172668
483,16000,0.0,0.1524,55.5,0.00172668
484,500,0.0,0.1524,39.6,0.00193287
485,630,0.0,0.1524,39.6,0.00193287
486,800,0.0,0.1524,39.6,0.00193287
487,1000,0.0,0.1524,39.6,0.00193287
488,1250,0.0,0.1524,39.6,0.00193287
489,1600,0.0,0.1524,39.6,0.00193287
490,2000,0.0,0.1524,39.6,0.00193287
491,2500,0.0,0.1524,39.6,0.00193287
492,3150,0.0,0.1524,39.6,0.00193287
493,4000,0.0,0.1524,39.6,0.00193287
494,5000,0.0,0.1524,39.6,0.00193287
495,6300,0.0,0.1524,39.6,0.00193287
496,8000,0.0,0.1524,39.6,0.00193287
497,10000,0.0,0.1524,39.6,0.00193287
498,500,0.0,0.1524,31.7,0.00209405
499,630,0.0,0.1524,31.7,0.00209405
500,800,0.0,0.1524,31.7,0.00209405
501,1000,0.0,0.1524,31.7,0.00209405
502,1250,0.0,0.1524,31.7,0.00209405
503,1600,0.0,0.1524,31.7,0.00209405
504,2000,0.0,0.1524,31.7,0.00209405
505,2500,0.0,0.1524,31.7,0.00209405
506,3150,0.0,0.1524,31.7,0.00209405
507,4000,0.0,0.1524,31.7,0.00209405
508,5000,0.0,0.1524,31.7,0.00209405
509,6300,0.0,0.1524,31.7,0.00209405
510,8000,0.0,0.1524,31.7,0.00209405
511,630,2.7,0.1524,71.3,0.00243851
512,800,2.7,0.1524,71.3,0.00243851
513,1000,2.7,0.1524,71.3,0.00243851
514,1250,2.7,0.1524,71.3,0.00243851
515,1600,2.7,0.1524,71.3,0.00243851
516,2000,2.7,0.1524,71.3,0.00243851
517,2500,2.7,0.1524,71.3,0.00243851
518,3150,2.7,0.1524,71.3,0.00243851
519,4000,2.7,0.1524,71.3,0.00243851
520,5000,2.7,0.1524,71.3,0.00243851
521,6300,2.7,0.1524,71.3,0.00243851
522,8000,2.7,0.1524,71.3,0.00243851
523,10000,2.7,0.1524,71.3,0.00243851
524,12500,2.7,0.1524,71.3,0.00243851
525,16000,2.7,0.1524,71.3,0.00243851
526,500,2.7,0.1524,39.6,0.00294804
527,630,2.7,0.1524,39.6,0.00294804
528,800,2.7,0.1524,39.6,0.00294804
529,1000,2.7,0.1524,39.6,0.00294804
530,1250,2.7,0.1524,39.6,0.00294804
531,1600,2.7,0.1524,39.6,0.00294804
532,2000,2.7,0.1524,39.6,0.00294804
533,2500,2.7,0.1524,39.6,0.00294804
534,3150,2.7,0.1524,39.6,0.00294804
535,4000,2.7,0.1524,39.6,0.00294804
536,5000,2.7,0.1524,39.6,0.00294804
537,6300,2.7,0.1524,39.6,0.00294804
538,8000,2.7,0.1524,39.6,0.00294804
539,10000,2.7,0.1524,39.6,0.00294804
540,12500,2.7,0.1524,39.6,0.00294804
541,400,5.4,0.1524,71.3,0.00401199
542,500,5.4,0.1524,71.3,0.00401199
543,630,5.4,0.1524,71.3,0.00401199
544,800,5.4,0.1524,71.3,0.00401199
545,1000,5.4,0.1524,71.3,0.00401199
546,1250,5.4,0.1524,71.3,0.00401199
547,1600,5.4,0.1524,71.3,0.00401199
548,2000,5.4,0.1524,71.3,0.00401199
549,2500,5.4,0.1524,71.3,0.00401199
550,3150,5.4,0.1524,71.3,0.00401199
551,4000,5.4,0.1524,71.3,0.00401199
552,5000,5.4,0.1524,71.3,0.00401199
553,6300,5.4,0.1524,71.3,0.00401199
554,400,5.4,0.1524,55.5,0.00433288
555,500,5.4,0.1524,55.5,0.00433288
556,630,5.4,0.1524,55.5,0.00433288
557,800,5.4,0.1524,55.5,0.00433288
558,1000,5.4,0.1524,55.5,0.00433288
559,1250,5.4,0.1524,55.5,0.00433288
560,1600,5.4,0.1524,55.5,0.00433288
561,2000,5.4,0.1524,55.5,0.00433288
562,2500,5.4,0.1524,55.5,0.00433288
563,3150,5.4,0.1524,55.5,0.00433288
564,4000,5.4,0.1524,55.5,0.00433288
565,5000,5.4,0.1524,55.5,0.00433288
566,6300,5.4,0.1524,55.5,0.00433288
567,8000,5.4,0.1524,55.5,0.00433288
568,315,5.4,0.1524,39.6,0.00485029
569,400,5.4,0.1524,39.6,0.00485029
570,500,5.4,0.1524,39.6,0.00485029
571,630,5.4,0.1524,39.6,0.00485029
572,800,5.4,0.1524,39.6,0.00485029
573,1000,5.4,0.1524,39.6,0.00485029
574,1250,5.4,0.1524,39.6,0.00485029
575,1600,5.4,0.1524,39.6,0.00485029
576,2000,5.4,0.1524,39.6,0.00485029
577,2500,5.4,0.1524,39.6,0.00485029
578,3150,5.4,0.1524,39.6,0.00485029
579,4000,5.4,0.1524,39.6,0.00485029
580,5000,5.4,0.1524,39.6,0.00485029
581,6300,5.4,0.1524,39.6,0.00485029
582,315,5.4,0.1524,31.7,0.00525474
583,400,5.4,0.1524,31.7,0.00525474
584,500,5.4,0.1524,31.7,0.00525474
585,630,5.4,0.1524,31.7,0.00525474
586,800,5.4,0.1524,31.7,0.00525474
587,1000,5.4,0.1524,31.7,0.00525474
588,1250,5.4,0.1524,31.7,0.00525474
